,P_Downtrend,P_Sideways,P_Uptrend
2023-11-28,0.0003496849601951967,0.0027315174264065756,0.9969187976133982
2023-11-29,0.00044730771701434084,0.003342780328129051,0.9962099119548565
2023-11-30,0.0007515367595520054,0.005112530659286032,0.9941359325811621
2023-12-01,0.0002441674806700716,0.0028584416696890375,0.9968973908496409
2023-12-02,0.00011955690165181733,0.0018984070931898694,0.9979820360051584
2023-12-03,8.529250215584017e-05,0.0015828866414128995,0.9983318208564312
2023-12-04,2.5675764406348004e-05,0.0007604971876832129,0.9992138270479105
2023-12-05,1.1892006062477456e-05,0.00043969821235880467,0.9995484097815787
2023-12-06,4.375444560888639e-05,0.0008334182689897432,0.9991228272854015
2023-12-07,3.614219358632143e-05,0.0006939196457457362,0.9992699381606679
2023-12-08,2.126562451478598e-05,0.0004863247388690875,0.9994924096366161
2023-12-09,3.1689819529319015e-05,0.0005710326376919706,0.9993972775427787
2023-12-10,3.824770742873743e-05,0.0005817683035657848,0.9993799839890055
2023-12-11,0.0005433507249367936,0.0034193922912329347,0.9960372569838303
2023-12-12,0.00024236177491108432,0.0024149219207419454,0.9973427163043469
2023-12-13,0.00017409443578506056,0.0020570618102830813,0.9977688437539319
2023-12-14,0.00018938794508488086,0.002312838333904141,0.9974977737210111
2023-12-15,0.0005667463345349694,0.0050906477343306234,0.9943426059311344
2023-12-16,0.0005370634621785325,0.005253204123119531,0.9942097324147019
2023-12-17,0.0012923325408490888,0.009862545050470498,0.9888451224086804
2023-12-18,0.0006659810827490068,0.007346372833418319,0.9919876460838327
2023-12-19,0.0010751694410871587,0.010612947701303284,0.9883118828576096
2023-12-20,0.00041968240287282267,0.006066484640249168,0.993513832956878
2023-12-21,0.0005306853320377895,0.006933407586924346,0.9925359070810378
2023-12-22,0.0006580061122267323,0.008053493089090133,0.9912885007986831
2023-12-23,0.001123464094967367,0.01153061602484348,0.9873459198801892
2023-12-24,0.004588480480073704,0.029517739558169914,0.9658937799617564
2023-12-25,0.005189748348740566,0.03183084845662122,0.9629794031946383
2023-12-27,0.008118490777914652,0.04448284392460614,0.9473986652974792
2023-12-28,0.02044120820340627,0.2601467745397197,0.7194120172568741
2023-12-29,0.05256401496837874,0.4191660192952175,0.5282699657364038
2023-12-30,0.06567607972604679,0.4549801857470355,0.4793437345269177
2023-12-31,0.06159067977859226,0.4648816460379241,0.4735276741834835
2024-01-01,0.0048559529651140566,0.1272591576719449,0.8678848893629411
2024-01-03,0.025660912053849027,0.3523712346336433,0.6219678533125076
2024-01-04,0.011028670746934012,0.23754103123238662,0.7514302980206794
2024-01-05,0.017286876201467856,0.30028347202119626,0.6824296517773358
2024-01-06,0.014100020138618951,0.28546876911527247,0.7004312107461087
2024-01-07,0.017426771756952734,0.3247201302684375,0.6578530979746097
2024-01-08,0.0014075063269226454,0.08159060930608213,0.9170018843669954
2024-01-09,0.0037651306131526153,0.14046402023067003,0.8557708491561774
2024-01-10,0.0037756202869263134,0.12796012993862893,0.8682642497744448
2024-01-11,0.007383553246138217,0.17995009646713722,0.8126663502867245
2024-01-12,0.10210032921450304,0.6091578472988254,0.28874182348667166
2024-01-13,0.09234632892005579,0.601880772850293,0.30577289822965115
2024-01-14,0.16402410127958097,0.6673614270434897,0.16861447167692942
2024-01-15,0.10088831020291975,0.6294177539828855,0.26969393581419476
2024-01-17,0.12262450533395522,0.6483719372203723,0.22900355744567233
2024-01-18,0.23327381071636247,0.6687171294218389,0.09800905986179854
2024-01-19,0.20171580903672018,0.6711400031332724,0.12714418783000747
2024-01-20,0.251203214157812,0.6456312178596111,0.10316556798257688
2024-01-21,0.276003626886184,0.6333692184641726,0.09062715464964344
2024-01-22,0.45892370388404286,0.5099058144554237,0.031170481660533465
2024-01-23,0.5899880141195956,0.3906238966832132,0.019388089197191354
2024-01-24,0.5806930066991342,0.394293694662113,0.025013298638752932
2024-01-25,0.6898609226483943,0.2973770144297073,0.012762062921898432
2024-01-26,0.5600705628869094,0.4040724677581374,0.035856969354953146
2024-01-27,0.618899952202267,0.35593782365115767,0.025162224146575363
2024-01-28,0.5923275580151846,0.3809337630862171,0.026738678898598288
2024-01-29,0.48545984207560666,0.46979219748108786,0.04474796044330547
2024-01-30,0.4729879630737613,0.4859705327696744,0.04104150415656432
2024-01-31,0.4627006596791171,0.5007749224371557,0.03652441788372721
2024-02-01,0.3879219247793526,0.5504920103808004,0.06158606483984693
2024-02-02,0.19786174014893898,0.6140271389175005,0.18811112093356042
