,lda_equity,mlp_equity,buy_hold
2025-01-11,10000,12141.222255447112,15584.450831538126
2025-01-12,10000,12141.222255447112,15571.570783870106
2025-01-13,10000,12141.222255447112,15576.199309596468
2025-01-14,10000,12141.222255447112,15908.684530501389
2025-01-15,10000,12141.222255447112,16563.008719395708
2025-01-16,10000,12141.222255447112,16439.80753572911
2025-01-17,10000,12123.037698898765,17215.20726267828
2025-01-18,10000,12098.599351031684,17206.313283340944
2025-01-19,10000,12098.599351031684,16659.435265786793
2025-01-20,10000,12098.599351031684,16812.212664470357
2025-01-21,10000,12098.599351031684,17492.765594977325
2025-01-22,10000,12098.599351031684,17081.890271881766
2025-01-23,10000,12098.599351031684,17132.50020728583
2025-01-24,10000,12098.599351031684,17274.11378216598
2025-01-25,10000,12098.599351031684,17256.836956930354
2025-01-26,10000,12098.599351031684,16921.941555174322
2025-01-27,10000,12098.599351031684,16823.917233977554
2025-01-28,10000,12098.599351031684,16699.45946029457
2025-01-29,10000,12098.599351031684,17090.153381231365
2025-01-30,10000,12098.599351031684,17260.241079884596
2025-01-31,10000,12098.599351031684,16876.21378098149
2025-02-01,10000,12098.599351031684,16587.961558645395
2025-02-02,10000,12098.599351031684,16099.01543082238
2025-02-03,10000,12098.599351031684,16711.480752285395
2025-02-04,10000,12098.599351031684,16129.147841420376
2025-02-05,10000,12098.599351031684,15922.098886424323
2025-02-06,10000,12098.599351031684,15918.448852923839
2025-02-07,10000,12098.599351031684,15907.866974496863
2025-02-08,10000,12098.599351031684,15900.1819480544
2025-02-09,10000,12098.599351031684,15903.089099957077
2025-02-10,10000,12098.599351031684,16057.581435015476
2025-02-11,10000,12098.599351031684,15779.051047939403
2025-02-12,10000,12098.599351031684,16131.461460538674
2025-02-13,10000,12098.599351031684,15923.486800397348
2025-02-14,10000,12098.599351031684,16069.350379011215
2025-02-15,10000,12098.599351031684,16081.114173047872
2025-02-16,10000,12098.599351031684,15849.519225569731
2025-02-17,10000,12098.599351031684,15783.328088958313
2025-02-18,10000,12098.599351031684,15744.792232625692
2025-02-19,10000,12098.599351031684,15925.421897523005
2025-02-20,10000,12098.599351031684,16205.304148858517
2025-02-21,10000,12098.599351031684,15841.364265360891
2025-02-22,10000,12098.599351031684,15915.888035769536
2025-02-23,10000,12098.599351031684,15865.816271089709
2025-02-24,10000,12080.478633082059,15065.595028847478
2025-02-25,10000,11708.47593231812,14623.60494045873
2025-02-26,10000,11690.939523033569,13900.27902478313
2025-02-27,10000,11740.449748310315,13959.145632087935
2025-02-28,10000,11694.541093596326,13904.561215761121
2025-03-01,10000,11906.58748311536,14177.946793712706
2025-03-02,10000,11888.754351587977,15532.004935720766
2025-03-03,10000,10840.283078077946,14183.510037012738
2025-03-04,10000,10840.283078077946,14374.103585247
2025-03-05,10000,10824.047007566594,14934.644444249876
2025-03-06,10000,10728.880055433274,14825.57474830861
2025-03-07,10000,10728.880055433274,14295.078750599312
2025-03-08,10000,10728.880055433274,14198.164245585054
2025-03-09,10000,10728.880055433274,13282.945704496366
2025-03-10,10000,10728.880055433274,12941.970776042172
2025-03-11,10000,10728.880055433274,13655.583868886148
2025-03-12,10000,10728.880055433274,13797.33520517178
2025-03-13,10000,10728.880055433274,13359.686532290485
2025-03-14,10000,10728.880055433274,13837.997994605916
2025-03-15,10000,10728.880055433274,13899.633992407911
2025-03-16,10000,10712.810839174512,13609.024376301311
2025-03-17,10000,10906.88235361812,13855.563217550216
2025-03-18,10000,10730.818561165623,13631.900494550548
2025-03-19,10000,11267.33374653263,14313.462817037895
2025-03-20,10000,10918.753382866313,13870.64358523669
2025-03-21,10000,10902.673322245479,13850.21627253169
2025-03-22,10000,10875.332354429505,13815.48366098229
2025-03-23,10000,11163.571444350502,14181.64832680402
2025-03-24,10000,11350.967088422914,14419.706472932048
2025-03-25,10000,11347.437096544534,14415.222146060025
2025-03-26,10000,11273.386319457602,14321.151705949673
2025-03-27,10000,11309.21933491898,14366.672194289391
2025-03-28,10000,10926.462199501506,13901.288416763504
2025-03-29,10000,10926.462199501506,13611.974015366424
2025-03-30,10000,10926.462199501506,13568.62165980089
2025-03-31,10000,10926.462199501506,13603.952954093758
2025-04-01,10000,10926.462199501506,14035.768010823132
2025-04-02,10000,10926.462199501506,13593.537161847229
2025-04-03,10000,10910.097053920625,13695.237266339898
2025-04-04,10000,10990.864583657321,13817.349233660316
2025-04-05,10000,10990.864583657321,13761.481190031924
2025-04-06,10000,10990.864583657321,12889.6446167735
2025-04-07,10000,10990.864583657321,13057.879617646417
2025-04-08,10000,10990.864583657321,12569.51801017939
2025-04-09,10000,10990.864583657321,13608.079358809475
2025-04-10,10000,10990.864583657321,13122.283718455838
2025-04-11,10000,10990.864583657321,13745.00775841334
2025-04-12,10000,10990.864583657321,14055.203956404544
2025-04-13,10000,10974.402979188539,13791.174566618047
2025-04-14,10000,11086.843799852097,13932.475281483868
2025-04-15,10000,10955.848336621924,13788.540362546802
2025-04-16,10000,10955.848336621924,13848.671284806624
2025-04-17,10000,10939.43917785514,13990.708443821395
2025-04-18,10000,10882.10471548729,13917.382038899685
2025-04-19,10000,10961.043920307275,14018.339261794548
2025-04-20,10000,10975.332989519597,14036.613891602614
2025-04-21,10000,11260.535894983315,14423.001159255771
2025-04-22,10000,11260.535894983315,15399.101229140715
2025-04-23,10000,11260.535894983315,15441.49054235762
2025-04-24,10000,11260.535894983315,15481.814721982015
2025-04-25,10000,11260.535894983315,15609.814380024734
2025-04-26,10000,11260.535894983315,15597.690088852227
2025-04-27,10000,11260.535894983315,15450.675494383182
2025-04-28,10000,11260.535894983315,15652.3736418914
2025-04-29,10000,11260.535894983315,15538.009788012218
2025-04-30,10000,11260.535894983315,15525.241751954261
2025-05-01,10000,11260.535894983315,15901.810622614585
2025-05-02,10000,11260.535894983315,15970.652700664274
2025-05-03,10000,11260.535894983315,15802.842571415751
2025-05-04,10000,11260.535894983315,15543.149447177624
2025-05-05,10000,11260.535894983315,15614.355356446675
2025-05-06,10000,11260.535894983315,15952.921391539527
2025-05-07,10000,11260.535894983315,15990.799340599222
2025-05-08,10000,11260.535894983315,17014.057585812465
2025-05-09,10000,11260.535894983315,16969.461515128245
2025-05-10,10000,11260.535894983315,17253.817793417616
2025-05-11,10000,11260.535894983315,17156.591715878803
2025-05-12,10000,11260.535894983315,16943.440059368717
2025-05-13,10000,11260.535894983315,17167.048707798003
2025-05-14,10000,11260.535894983315,17063.159870694813
