,P_Downtrend,P_Sideways,P_Uptrend
2016-04-23,0.0009812478967305856,0.0051289409054076,0.9938898111978619
2016-04-24,0.0007659365021932072,0.0035497476738904996,0.9956843158239163
2016-04-25,0.0011374080652084913,0.002673658520452156,0.9961889334143395
2016-04-26,0.0007219090695463521,0.0020137567831460305,0.9972643341473076
2016-04-27,0.07862949165256157,0.0034047382740313116,0.9179657700734071
2016-04-28,0.060354646816650565,0.0029691543526033275,0.9366761988307462
2016-04-29,0.02924783927034329,0.0028214660871196087,0.9679306946425371
2016-04-30,0.10032091498624139,0.0036119348220221546,0.8960671501917363
2016-05-01,0.06482460135700231,0.004115334420825369,0.9310600642221722
2016-05-02,0.25039681830876825,0.0030906708561104002,0.7465125108351214
2016-05-03,0.14098449981275327,0.0037247982575346074,0.8552907019297121
2016-05-04,0.33672900999825645,0.003141953485447094,0.6601290365162965
2016-05-05,0.31734808674126797,0.003424277845422629,0.6792276354133095
2016-05-06,0.03167830605237632,0.0067230492724141356,0.9615986446752095
2016-05-07,0.027543807623226915,0.005925293356450001,0.9665308990203232
2016-05-08,0.02511739859200641,0.006145433353511942,0.9687371680544817
2016-05-09,0.018700066439936606,0.0070442219182273984,0.9742557116418361
2016-05-10,0.24371774818062147,0.004836247449968232,0.7514460043694102
2016-05-11,0.20780167424851712,0.04956396312666043,0.7426343626248224
2016-05-12,0.16424539686364034,0.052119381940759,0.7836352211956006
2016-05-13,0.10999378199673525,0.07949595316541645,0.8105102648378483
2016-05-14,0.11809627314587723,0.08055398878757315,0.8013497380665497
2016-05-15,0.05856725276682743,0.10201121195661161,0.8394215352765609
2016-05-16,0.16824254438951894,0.09587497191134184,0.7358824836991393
2016-05-17,0.171758677522359,0.07228292462689469,0.7559583978507464
2016-05-18,0.18769067803611314,0.08604218368288766,0.7262671382809991
2016-05-19,0.9818570523184981,0.0010703336874474244,0.017072613994054603
2016-05-20,0.9355992582663392,0.003074999867106068,0.06132574186655483
2016-05-21,0.9282854781024191,0.0038725521619578265,0.06784196973562305
