rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,k
defensive,eth,random_forest,0.09476896107895483,0.25091820623011596,-0.6298568724780881,112,0.5089285714285714,1.0947689610789548,1200,2022-03-16,2025-07-06,0.4
prob_weighted,eth,random_forest,0.08761541686179664,0.27819115476411876,-0.15604844368905224,99,0.5353535353535354,1.0876154168617966,1200,2022-03-16,2025-07-06,0.4
stateful,eth,mlp,-0.6959800872465512,-0.3060494161356581,-0.8461365830854846,107,0.4485981308411215,0.30401991275344875,1200,2022-03-16,2025-07-06,0.4
defensive,eth,mlp,-0.4528810519955978,-0.07450065933697646,-0.7010548948393052,129,0.4883720930232558,0.5471189480044022,1200,2022-03-16,2025-07-06,0.4
prob_weighted,eth,mlp,-0.4174998029384017,-0.18568989123653365,-0.5187983004313694,117,0.48717948717948717,0.5825001970615983,1200,2022-03-16,2025-07-06,0.4
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06,0.4
stateful,eth,xgboost,-0.3705672433592446,-0.022485002614198682,-0.6114258969947206,80,0.5375,0.6294327566407554,1200,2022-03-16,2025-07-06,0.5
defensive,eth,xgboost,-0.1815062664190722,0.07099687685533228,-0.6041060079926664,121,0.5867768595041323,0.8184937335809278,1200,2022-03-16,2025-07-06,0.5
prob_weighted,eth,xgboost,0.06294874367992054,0.1660513190772544,-0.24492773669122347,111,0.6306306306306306,1.0629487436799205,1200,2022-03-16,2025-07-06,0.5
stateful,eth,lightgbm,-0.4781151950083977,-0.08712539652090849,-0.6982090700510153,103,0.5048543689320388,0.5218848049916023,1200,2022-03-16,2025-07-06,0.5
defensive,eth,lightgbm,-0.2875680232943246,0.027409896402639997,-0.6433765328979018,165,0.49696969696969695,0.7124319767056754,1200,2022-03-16,2025-07-06,0.5
prob_weighted,eth,lightgbm,0.19149471505976923,0.3357577858348306,-0.1804997393203326,132,0.5454545454545454,1.1914947150597692,1200,2022-03-16,2025-07-06,0.5
stateful,eth,random_forest,-0.11795032559842644,0.15578823258793437,-0.6335817443497497,77,0.5454545454545454,0.8820496744015736,1200,2022-03-16,2025-07-06,0.5
defensive,eth,random_forest,-0.1717766422976379,0.09769286524525438,-0.6432864979604549,112,0.5178571428571429,0.8282233577023621,1200,2022-03-16,2025-07-06,0.5
prob_weighted,eth,random_forest,0.0394748732263428,0.15212968703207108,-0.14241241002905458,102,0.5686274509803921,1.0394748732263428,1200,2022-03-16,2025-07-06,0.5
stateful,eth,mlp,-0.16336925791017898,0.14551903677734843,-0.6235027643655771,101,0.48514851485148514,0.836630742089821,1200,2022-03-16,2025-07-06,0.5
defensive,eth,mlp,0.24840033947987084,0.3180933428485127,-0.43987648302987314,134,0.4925373134328358,1.2484003394798708,1200,2022-03-16,2025-07-06,0.5
prob_weighted,eth,mlp,0.21571013711732,0.2896110139831,-0.4215025575871846,125,0.456,1.21571013711732,1200,2022-03-16,2025-07-06,0.5
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06,0.5
stateful,eth,xgboost,-0.49546075285173674,-0.13266596277831683,-0.6494483711646436,71,0.5774647887323944,0.5045392471482633,1200,2022-03-16,2025-07-06,0.7
defensive,eth,xgboost,-0.24952920600964523,0.020761237406827542,-0.5464774425736711,119,0.5882352941176471,0.7504707939903548,1200,2022-03-16,2025-07-06,0.7
prob_weighted,eth,xgboost,0.0007864538853006309,0.06126867937214427,-0.2501337690611489,102,0.5980392156862745,1.0007864538853006,1200,2022-03-16,2025-07-06,0.7
stateful,eth,lightgbm,-0.47632375695823015,-0.1103558870353752,-0.7143692114449709,87,0.5057471264367817,0.5236762430417699,1200,2022-03-16,2025-07-06,0.7
defensive,eth,lightgbm,-0.4915414620142141,-0.18899559500539334,-0.6347028552267453,157,0.5031847133757962,0.5084585379857859,1200,2022-03-16,2025-07-06,0.7
prob_weighted,eth,lightgbm,0.10642804394031091,0.22004758457952392,-0.19132628097378768,120,0.525,1.106428043940311,1200,2022-03-16,2025-07-06,0.7
stateful,eth,random_forest,-0.5118501286353618,-0.15621296579510008,-0.6865664553129052,62,0.41935483870967744,0.48814987136463817,1200,2022-03-16,2025-07-06,0.7
defensive,eth,random_forest,-0.1569824001377217,0.09019139687107507,-0.649632006449897,99,0.5151515151515151,0.8430175998622783,1200,2022-03-16,2025-07-06,0.7
prob_weighted,eth,random_forest,0.07270638517414851,0.2467152432261498,-0.11483037231154025,84,0.5714285714285714,1.0727063851741485,1200,2022-03-16,2025-07-06,0.7
stateful,eth,mlp,-0.1076233634710998,0.1385083851064382,-0.445036994605955,95,0.49473684210526314,0.8923766365289002,1200,2022-03-16,2025-07-06,0.7
defensive,eth,mlp,-0.6260081751268792,-0.40113563155079685,-0.7250627940500516,125,0.464,0.37399182487312077,1200,2022-03-16,2025-07-06,0.7
prob_weighted,eth,mlp,-0.4209934636480386,-0.22392642950347438,-0.5671329712736868,128,0.5234375,0.5790065363519614,1200,2022-03-16,2025-07-06,0.7
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06,0.7
stateful,eth,xgboost,-0.012926485049933212,0.20816225500831478,-0.6529269775427295,57,0.5614035087719298,0.9870735149500668,1200,2022-03-16,2025-07-06,1.0
defensive,eth,xgboost,-0.10866562162542737,0.10768563867427769,-0.566806759962047,102,0.5588235294117647,0.8913343783745726,1200,2022-03-16,2025-07-06,1.0
prob_weighted,eth,xgboost,-0.0057790151812052715,0.05148028578278531,-0.2672025369424601,88,0.5454545454545454,0.9942209848187947,1200,2022-03-16,2025-07-06,1.0
stateful,eth,lightgbm,-0.6268368116715372,-0.2838794521516095,-0.7556155701427256,71,0.4507042253521127,0.37316318832846285,1200,2022-03-16,2025-07-06,1.0
defensive,eth,lightgbm,-0.22977281080403356,0.027267478449955498,-0.6753569996825284,143,0.5034965034965035,0.7702271891959664,1200,2022-03-16,2025-07-06,1.0
prob_weighted,eth,lightgbm,0.06416607964153931,0.16184222031044707,-0.19593946048044142,108,0.5277777777777778,1.0641660796415393,1200,2022-03-16,2025-07-06,1.0
stateful,eth,random_forest,-0.17580864494284254,0.10695651706611028,-0.6250796010513288,59,0.5084745762711864,0.8241913550571575,1200,2022-03-16,2025-07-06,1.0
defensive,eth,random_forest,-0.2712736452237339,-0.013653952053833008,-0.534555141390261,97,0.5360824742268041,0.7287263547762661,1200,2022-03-16,2025-07-06,1.0
prob_weighted,eth,random_forest,0.13162173978220926,0.3665602130931262,-0.10584408439584525,77,0.6103896103896104,1.1316217397822093,1200,2022-03-16,2025-07-06,1.0
stateful,eth,mlp,0.8829127361028604,0.5197993321489451,-0.5118450701571255,57,0.5614035087719298,1.8829127361028604,1200,2022-03-16,2025-07-06,1.0
defensive,eth,mlp,0.48105769606398696,0.40612564573890375,-0.37529794834126273,119,0.4957983193277311,1.481057696063987,1200,2022-03-16,2025-07-06,1.0
prob_weighted,eth,mlp,0.43935899554679225,0.3975895997637681,-0.3572642213922034,109,0.5321100917431193,1.4393589955467923,1200,2022-03-16,2025-07-06,1.0
buy_and_hold,eth,benchmark,-0.07244410507348065,0.2597601608766614,-0.717943870782727,1,0.0,0.9275558949265194,1200,2022-03-16,2025-07-06,1.0
