feature,adf_stat,p_value,stationary
macro_Yield_Curve_10Y_2Y_zscore_50,-9.263879988427075,1.383612508574376e-15,True
macro_Yield_Curve_10Y_2Y_zscore_100,-6.4653832362992985,1.4095070297591188e-08,True
macro_Credit_Spread_log_zscore_20,-17.13362166732719,7.122108388762095e-30,True
macro_Credit_Spread_log_zscore_50,-9.904202553753745,3.2964790691129554e-17,True
macro_Credit_Spread_log_zscore_100,-7.030165435900646,6.214974579280015e-10,True
macro_Gold_Silver_Ratio_zscore_20,-15.070980632740346,8.725773156436136e-28,True
macro_Gold_Silver_Ratio_zscore_50,-9.955513066904924,2.450241524987305e-17,True
macro_Gold_Silver_Ratio_zscore_100,-7.3299793726692535,1.1345473518357876e-10,True
macro_SP500_VIX_ratio_zscore_20,-12.540192765404656,2.3237099161772026e-23,True
macro_SP500_VIX_ratio_zscore_50,-14.128306300894968,2.358034283353749e-26,True
macro_SP500_VIX_ratio_zscore_100,-11.391331431448785,8.054413302728376e-21,True
