Date,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2024-06-04,1,Neutral,0.422817184099666,0.5771759574379469,6.85846233346598e-06
2024-06-05,0,Bull,0.5699447017028776,0.43004721675134444,8.081546097399463e-06
2024-06-06,1,Neutral,0.41864618568565565,0.5813405993137928,1.3215001096403858e-05
2024-06-07,0,Bull,0.5742886540840605,0.42570427762424917,7.0682922436986985e-06
2024-06-08,0,Bull,0.5742886540840605,0.42570427762424917,7.0682922436986985e-06
2024-06-09,0,Bull,0.5742886540840605,0.42570427762424917,7.0682922436986985e-06
2024-06-10,1,Neutral,0.41405534724223036,0.5859367708774692,7.881880568998421e-06
2024-06-11,0,Bull,0.5790493978014947,0.42094316185417285,7.440345234717941e-06
2024-06-12,1,Neutral,0.4091887579376074,0.5908035612761274,7.68078685094207e-06
2024-06-13,0,Bull,0.5839745967693906,0.4160177838622414,7.619368498901369e-06
2024-06-14,1,Neutral,0.40412419257999743,0.5958671642275222,8.6431928310916e-06
2024-06-15,1,Neutral,0.40412419257999743,0.5958671642275222,8.6431928310916e-06
2024-06-16,1,Neutral,0.40412419257999743,0.5958671642275222,8.6431928310916e-06
2024-06-17,0,Bull,0.5892370751098169,0.41075215231755635,1.0772572134377592e-05
2024-06-18,1,Neutral,0.39878897354755927,0.6011990807604225,1.1945691307348035e-05
2024-06-19,0,Bull,0.5946731068231935,0.4053203506977284,6.542479118905433e-06
2024-06-20,1,Neutral,0.3931384296190811,0.6068554371113648,6.133268895454273e-06
2024-06-21,0,Bull,0.6004921921541899,0.39950254776279687,5.260082337650822e-06
2024-06-22,0,Bull,0.6004921921541899,0.39950254776279687,5.260082337650822e-06
2024-06-23,0,Bull,0.6004921921541899,0.39950254776279687,5.260082337650822e-06
2024-06-24,1,Neutral,0.3871450598193611,0.6128476371863909,7.302995075687459e-06
2024-06-25,0,Bull,0.6066183950472084,0.39337524484976505,6.360103576432945e-06
2024-06-26,1,Neutral,0.38088215607946807,0.6191105796902471,7.2642295780618395e-06
2024-06-27,0,Bull,0.6130675572327601,0.38692645237717094,5.9903903880761065e-06
