Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC,log_ret_5d,log_ret_10d,log_ret_20d,log_ret_50d,log_ret_100d,above_sma_200,adx_strong_trend,adx_value,donchian_pct,sharpe_proxy_20d,higher_high_count_50
2017-11-15,62.013460737859155,79.58368878883262,58.381813714208626,288.3533872432308,366.60195077216963,-78.2485635289388,-20.41631121116739,53.66780837709225,-1.2402461217836658,7807.148263974319,5626.321706728806,32.46855149118803,0.7745771100968509,504.45609846104406,0.8015182009800396,69552409292,3590849536.0,76.47715857123698,0.10018647364187316,-0.012480013634343479,0.21423018469916855,0.6309877445757408,0.7724388245021725,1.0,1.0,28.64827252792597,0.7958368878883259,0.23476353620294893,0.6
2017-11-16,67.03646406541802,96.09168806895212,75.04845053702377,356.34017464282624,364.54959554630096,-8.209420903474722,-3.908311931047879,121.50832555642596,12.088270197374442,7933.440759904163,5709.108214705212,32.608752944024374,0.9722384952595341,524.9092203343623,0.8215258530921659,74676219084,3761533523.2,64.65214017372199,0.2136218084452448,0.11411650166046172,0.30871340843713924,0.6280287536715772,0.8336497815216379,1.0,1.0,28.425540588462955,0.9609168806895209,0.3215723962093658,0.6
2017-11-17,64.35545258039065,88.10741959285473,87.92759881687986,392.5664254674484,370.1529615305305,22.413463936917935,-11.892580407145276,123.22108210387638,7.902860161744815,7981.172382032804,5856.96663163907,30.700743044928952,0.8718663916584569,519.094276024765,0.8287266099054325,70024549068,3923921024.0,99.95657659850608,0.258984256042492,0.07606119344780105,0.2926501360826972,0.6133375298195372,0.8356771648232204,1.0,1.0,28.272539791937056,0.881074195928547,0.30374953711958463,0.6
2017-11-18,65.10515180743516,91.37264000088008,91.85724922089567,422.9493997638192,380.71224917718826,42.237150586630946,-8.627359999119923,109.16620677057638,4.429942310379778,8066.685514729706,5935.083479410919,30.447610387099044,0.8702686487421191,512.1268486636211,0.8050002228763747,73691739084,3964328524.8,-20.316588479366025,0.17194721085510345,0.04334625207938636,0.235782184535843,0.626607361972578,0.8346057579209845,1.0,1.0,27.879697600994316,0.9137264000088005,0.2551630801263171,0.6
2017-11-19,67.34985544748473,97.4671914521965,92.3157503486438,461.5848687932257,396.88677310039577,64.69809569282995,-2.5328085478035005,136.81658173694626,12.499477103704075,8174.420591861019,6017.944447201482,30.389242930605825,0.9360390061222796,504.675649372916,0.8055786499532244,76841059020,4033187020.8,-2.384503630577939,0.19152075154598336,0.11777838767850568,0.27071127866895495,0.6164153899644234,0.7890954015836353,1.0,1.0,27.85890726685551,0.9746719145219647,0.2896782170122217,0.6
2017-11-20,68.79055125713595,95.16579396349792,94.66854180552487,499.6891368891347,417.44724585814356,82.24189103099116,-4.834206036502085,156.5040107082285,23.911544316487497,8321.975661118151,6043.613352553724,31.719720039270044,0.9467441976965009,496.30599500922557,0.7921290360396545,80329509068,4092040524.8,-33.02068555752483,0.11421129913187222,0.2143977727737454,0.23728338951070072,0.6217579240343181,0.747163832231557,1.0,1.0,28.190314402095076,0.9516579396349788,0.2602045584142389,0.6
2017-11-21,66.30707972608533,90.19665498098057,94.27654679889169,513.5275427582756,436.66330523817,76.86423752010558,-9.803345019019437,125.45552857230409,26.954505499653813,8432.93059471334,6063.05338966166,32.697017430567456,0.8473883674996348,502.70915217374517,0.7877204142580088,76051899084,4162405017.6,-12.85620947619478,0.02503680343538761,0.23865861188063242,0.17620589947464538,0.6045891321927161,0.6838659108475653,1.0,1.0,27.979127376952825,0.9019665498098053,0.1997180516610044,0.6
2017-11-22,68.05688044659615,96.63879495934859,94.00041463460906,533.0590884469666,455.94246187992934,77.11662656703726,-3.3612050406514165,127.81541335641836,38.71349494240934,8566.409464507886,6047.0795003358635,34.47951369084925,0.8758163224866786,483.3013555899062,0.7779838793430917,79685429196,4111393011.2,-59.43521066573747,0.06825617646504334,0.3272404325075353,0.1535813663066179,0.6479714929651923,0.6462012165180102,1.0,1.0,27.783025139320735,0.9663879495934855,0.17860362160623972,0.6
2017-11-23,63.84940181922912,89.0484655720913,91.96130517080685,525.1534039063035,469.7846502852042,55.36875362109936,-10.951534427908705,100.51829637910748,22.55174918020437,8646.394671273438,6050.1953189609385,35.330635937147704,0.7659560883870642,465.1105709830379,0.7860551159142125,75460249292,4154159001.6,-32.54013558507338,0.03141598622534758,0.20336319708045103,0.10911789794520921,0.642225439793835,0.6535031843452739,1.0,1.0,27.490464967294546,0.8904846557209126,0.13252392574109728,0.6
2017-11-24,66.107400581019,95.78061712762778,93.82262588635592,530.1194854449577,481.85161731715493,48.267868127802785,-4.219382872372227,97.5746440023384,24.382178799495158,8748.88153057142,6035.082483100457,36.71273881566951,0.8175284565209805,462.8333859463031,0.7869664935668867,80518859468,4282899507.2,58.22446367763654,0.026667975269921484,0.21818872681590484,0.11189353515031186,0.6454601200033654,0.6343814300623691,1.0,1.0,27.421823184762815,0.9578061712762774,0.13521124857132802,0.6
