Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC
2015-09-30,51.92781754912198,74.51818170482836,64.82576295736153,-0.21493248006274257,-1.2867273890773938,1.0717949090146512,-25.481818295171635,68.28615947991841,2.096773448445843,239.5753876723523,226.22681264503052,5.731434938790104,0.7366467876486242,5.241875932504404,0.19785040833604997,2888364,19338810.0,36.68335098686715
2015-10-01,53.92563514587822,84.65777081367753,79.32126345773128,0.052835252390963205,-1.0188148607837224,1.0716501131746856,-15.34222918632247,92.67676692018338,4.6079613133584765,238.97128737576676,226.57511307589337,5.3254301989434225,0.8852636813842153,5.069528366594491,0.19760189918833304,23377164,19402015.0,4.116104640526852
2015-10-02,53.51386661870752,82.91451751669791,80.69682334506795,0.24160128572532358,-0.7667316314819133,1.0083329172072368,-17.08548248330209,96.88690326212871,2.894398165488834,239.2992658559474,226.45353413184557,5.516115726814096,0.8438184268938911,4.845848021840533,0.18302975182970907,3699264,19487780.0,-21.317669826824424
2015-10-03,55.56497819307809,92.69999044052534,86.75742625696695,0.5013738068163605,-0.5131105438222585,1.014484350638619,-7.300009559474672,102.34485404627725,3.6680913450704025,240.0926423615639,226.48195785816267,5.834301523053961,0.8998840481766851,4.669073320085181,0.16666705074710628,20181964,19387975.0,-4.4708214279504555
2015-10-04,54.71286209190527,89.49268284573087,88.36906360098472,0.6616135301696033,-0.27816572902388614,0.9397792591934895,-10.507317154269137,92.72857546515733,1.5904197847078738,240.68794748588067,226.6481532831623,6.008435547613231,0.8269956977101913,4.408996645645501,0.16715063847930464,7182964,18988035.0,-48.20661571930608
2015-10-05,57.8519156166639,100.0,94.0642244287521,0.9490530502815204,-0.032721973162804834,0.9817750234443252,-0.0,113.26076457704195,2.2279958134757982,241.58940033897474,226.75459990516586,6.335001804688743,0.918677387074479,4.333210595482208,0.16863635932042118,30518864,19195940.0,4.347689996243886
2015-10-06,64.86547520696004,94.97235751185919,94.8216801191967,1.6165455801892676,0.2971315375076097,1.3194140426816579,-5.027642488140815,193.09113029262403,5.00256353390276,243.69546180154404,226.34573845480364,7.3822138728598,1.1364599130014252,4.509338122353454,0.1820213012347029,58053964,19565485.0,100.63319270480395
2015-10-07,59.09672862847528,76.16584396970617,90.37940049385514,1.874272076543349,0.6125596453147576,1.2617124312285912,-23.834156030293833,165.10736542975425,4.38740411262306,244.66336775116847,226.6937321633823,7.624637707183692,0.9057090722699397,4.479813473756218,0.19093553950769213,35054764,19768675.0,62.19578417337217
2015-10-08,57.904766420411875,67.99145727318269,79.7098862515827,2.0017874217840017,0.8904052006086065,1.1113822211753952,-32.0085427268173,125.7482236249718,1.3222280427834767,245.48170893326923,226.80829045637918,7.907606979195897,0.8298271908429766,4.3078272417440555,0.18737208016265777,16539464,19682330.0,-25.078703516367906
2015-10-09,60.02898361285256,79.2369552034169,74.46475214876861,2.2086693006795315,1.1540580206227915,1.05461128005674,-20.763044796583106,122.54119226148818,3.0605835572905282,246.43246929111018,227.1013304525422,8.16462894476927,0.8705989566294927,4.1505540678778505,0.18538613441568286,33892564,19914355.0,-23.525315869958973
2015-10-10,61.33340630740639,86.21783953384133,77.81541733681367,2.426155584682249,1.408477533434683,1.0176780512475658,-13.782160466158674,127.77994177214941,3.7621777497041453,247.3896551915982,227.51704341680022,8.36905936809481,0.8767821282551184,4.014442714257113,0.18489136802709608,49805264,19987755.0,-19.402841441487073
2015-10-11,63.977013535206005,98.69387417902433,88.04955630542754,2.7371423421060967,1.6742104951689658,1.062931846937131,-1.3061258209756703,140.59579681545682,3.9995989211467027,248.02566883654103,228.87752940564647,8.030199630227889,0.9490464445224882,3.94848276452223,0.16838910402920565,66632564,19845180.0,-17.870739135527703
2015-10-12,60.30925672770801,81.87196689932523,88.92789353739698,2.8106371166823294,1.9014958194716387,0.9091412972106907,-18.128033100674774,120.47393969544883,3.3776805107556096,248.4938285700876,229.8783699162405,7.782834668381812,0.8288610572481033,3.8289478453766685,0.1674456046281667,49244264,19464130.0,-11.635387922491724
2015-10-13,65.45188710284981,95.02053988160326,91.86212698665095,3.171230931760732,2.1554428419294576,1.0157880898312746,-4.979460118396738,131.896073558455,4.514723776156967,249.54910995678298,230.7455876140178,7.8299937258804855,0.9978134760836417,4.018236474096976,0.17348689876153245,77442764,20011350.0,71.07937413166532
2015-10-14,68.08267328603601,87.74856154054972,88.21368944049276,3.615522823592073,2.447458838261981,1.1680639853300923,-12.251438459450286,166.11738020791904,5.7626346004897115,251.36812011398118,230.67257660232744,8.586637457224287,1.0300005795332272,4.114933441558243,0.16677262994716185,104905364,20129590.0,111.26702054004154
