,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC,log_ret_5d,log_ret_10d,log_ret_20d,log_ret_50d,log_ret_100d,above_sma_200,adx_strong_trend,adx_value,donchian_pct,sharpe_proxy_20d,higher_high_count_50
2016-12-01,64.64217650915316,96.2782089154701,77.81962722158745,13.959384127200337,15.799294744988956,-1.8399106177886182,-3.7217910845298916,126.43617162994408,3.5221710042389125,762.9340269336222,708.3523744335652,7.419582271587272,0.8871408278228741,14.140641216840882,0.23959572543821878,3813810505.48,88684215.2,-47.79133639596148,0.02867452655945879,0.03461561637843147,0.07352145224598594,0.20399957554906223,0.2778020295515464,1.0,1.0,33.58870775303369,0.9731406041807562,0.2491374666711947,0.54
2016-12-02,70.39203402053234,94.70885197888165,89.5476164644641,15.95737033451553,15.830909862894272,0.12646047162125917,-5.291148021118348,221.08825184683076,5.234506502274345,769.432391828663,708.6636042650871,8.222576574751987,1.1400649616218654,14.882169250738409,0.2536198365643119,3941415505.48,91081425.2,109.86836045945556,0.06082621289877199,0.05102106910921833,0.09160360898776876,0.22837481734582443,0.30347126525832735,1.0,1.0,34.625794175327975,0.9559149572875854,0.29240369224519275,0.54
2016-12-03,66.64893801262102,83.99263940806968,91.65990010080718,16.799325871958217,16.024593064707062,0.774732807251155,-16.007360591930325,182.89548739571634,2.636337781697243,773.948817553415,708.9353804446318,8.768511687770884,0.9570275256811095,14.775726288074058,0.2520433905301939,3871868209.48,87937340.0,-46.463368897510506,0.04691343452950658,0.0260218534576504,0.06410267053595042,0.22342240779389488,0.2924243272973275,1.0,1.0,35.588802996029806,0.8666290996601196,0.20791146548775752,0.54
2016-12-04,67.39615274453348,88.28134032139967,88.99427723611701,17.484271480966754,16.316528747959,1.1677427330077528,-11.718659678600332,164.1396436077929,3.932077799057464,777.5063581391676,711.2116411284105,8.906282726933217,0.9451789067711972,14.128245734294214,0.2465892463079128,3932426109.48,87524845.0,-20.884643824842776,0.05071456146149522,0.038567401705837945,0.07837738491701352,0.22331088766518015,0.285456766685237,1.0,1.0,36.483025472395795,0.9023619051288478,0.2578321776977749,0.52
2016-12-05,59.39379716952495,56.2694754647534,76.1811517314076,16.611357060980367,16.375494410563277,0.23586265041708998,-43.7305245352466,94.09261286770922,2.487003144144623,777.5504297910625,715.396469623,8.326345725016212,0.696714134818437,14.70187079484686,0.2605350798650738,3826063109.48,89687010.0,23.7940776423494,0.017295181309807006,0.02456580595703972,0.057352418819778705,0.17610602776430007,0.2663257501227969,1.0,1.0,35.706278690990025,0.7028249104572648,0.18138475292495654,0.5
2016-12-06,61.20016895025968,66.96016196971809,70.50365925195707,16.178806454482356,16.336156819347096,-0.1573503648647403,-33.03983803028191,91.47709625118475,3.9220404134988103,776.6383310588327,721.5690664021048,7.351353991450803,0.7745687705695826,14.146165528808691,0.2584326612470166,3942281109.48,91895985.2,111.44885531460429,0.009796294086039659,0.03847082064549845,0.07131825673045444,0.18242727239980905,0.26425700681623887,1.0,1.0,34.98501382254181,0.7637319984896744,0.22546743784937806,0.5
2016-12-07,62.47208380727294,74.5234343439116,65.91769059279439,15.967290551183055,16.262383565714288,-0.2950930145312327,-25.476565656088393,98.74892735554644,4.931054829713796,778.9365625607747,721.6642369997721,7.63325270488659,0.8113479169568952,13.978084404262088,0.2079989976916542,4038707205.48,89652590.0,83.31330106574299,-0.012692885068497972,0.04813332783027402,0.0316544923352966,0.18190300565400097,0.27506288738190143,1.0,1.0,34.632176075830564,0.7922087556360428,0.12711165534408292,0.5
2016-12-08,63.35849753090395,79.7061818284907,73.72992604737347,15.83323745381972,16.176554343335376,-0.34331688951565553,-20.2938181715093,105.88690272873633,4.756236956226007,781.4209762485094,722.1631240932874,7.882213192032488,0.8209354827420862,13.604793672540241,0.20689596258169368,4118819109.48,88229235.2,29.445332419864066,-0.00044752213964738274,0.0464659123898592,0.03947233498301994,0.18809160268146652,0.2841000476191642,1.0,1.0,34.46988804290944,0.8344801341092011,0.15779567757262414,0.5
2016-12-09,64.03624551114675,83.5458752767022,79.25849714970153,15.706042851265806,16.082452044921464,-0.3764091936556575,-16.454124723297795,100.76183568418409,5.055709626907628,783.8618997522069,721.8430990270899,8.237842176973151,0.8215397061028903,12.98152471880969,0.201824982091607,4187524405.48,87296344.8,0.2834460235818126,-0.0013939701181220343,0.04932059134337319,0.027828187955829975,0.1859991839316022,0.29085226242032913,1.0,1.0,34.319192012339826,0.865797333230554,0.11558755810250142,0.48
2016-12-10,64.69415308098584,86.76386391898446,83.33864034139248,15.575461138308583,15.981053863598888,-0.40559272529030466,-13.23613608101554,99.55135613397819,3.8835182703751805,786.4232971074243,721.5851013300758,8.599182318152828,0.8184207232756643,12.36127106980989,0.20178929658645076,4241367505.48,84458099.8,-35.95505217031359,0.020804887525115667,0.038100068834922673,0.030185753697129947,0.19220491345007318,0.2899851459798981,1.0,1.0,34.325386977684204,0.8950942232841201,0.12490242820804853,0.5
