,P_Risk-On,P_Risk-Off,P_Neutral,regime_label,regime_cluster
2001-03-01,2.244476677452317e-05,0.9999774760274491,7.920577651489581e-08,Risk-Off,1
2001-03-02,8.279127424770812e-05,0.9999172024162993,6.309452979602727e-09,Risk-Off,1
2001-03-05,0.00010917996315007759,0.9998908173193443,2.7175059117073523e-09,Risk-Off,1
2001-03-06,0.0003075680245181033,0.9996924258680637,6.107418607194168e-09,Risk-Off,1
2001-03-07,0.0022369496599442882,0.9977630500722474,2.6780861442769375e-10,Risk-Off,1
2001-03-08,0.00210683227742272,0.9978931675130682,2.0950873786565193e-10,Risk-Off,1
2001-03-09,0.002631987696119251,0.9973680122504112,5.346994886503912e-11,Risk-Off,1
2001-03-12,3.5684031503021597e-06,0.9999964315900381,6.811516473228977e-12,Risk-Off,1
2001-03-13,3.7320357123440515e-05,0.999962679642411,4.652147498613332e-13,Risk-Off,1
2001-03-14,1.677798574061538e-08,0.9999999832220096,5.063547721797882e-15,Risk-Off,1
2001-03-15,4.63992092637271e-08,0.9999999536007913,3.4875287761926753e-17,Risk-Off,1
2001-03-16,4.30021757900799e-08,0.9999999569978231,8.274369382790592e-16,Risk-Off,1
2001-03-19,2.0526562808190915e-07,0.9999997947343677,3.760393383127744e-15,Risk-Off,1
2001-03-20,4.507475971863341e-08,0.9999999549252322,8.21814325852003e-15,Risk-Off,1
2001-03-21,1.987749087875869e-08,0.9999999801225086,1.4127578306779178e-16,Risk-Off,1
2001-03-22,1.5973136639924024e-09,0.9999999984026857,1.1794217041991555e-17,Risk-Off,1
2001-03-23,9.862997331928334e-08,0.999999901370026,1.125430063720646e-16,Risk-Off,1
2001-03-26,5.844541124789711e-07,0.9999994155458813,5.7068372406959354e-15,Risk-Off,1
2001-03-27,2.071831138932252e-08,0.999999979281686,3.0030933804572777e-15,Risk-Off,1
2001-03-28,1.7309625450552874e-09,0.999999998269038,9.885131942826722e-18,Risk-Off,1
2001-03-29,4.999542270321155e-10,0.9999999995000461,3.0565594631263232e-19,Risk-Off,1
2001-03-30,2.590466690148476e-09,0.9999999974095335,1.3500091412529266e-21,Risk-Off,1
2001-04-02,4.6270043085422985e-10,0.9999999995372999,1.2224837394013477e-21,Risk-Off,1
2001-04-03,2.4162695400268957e-12,0.9999999999975842,1.468607378707732e-19,Risk-Off,1
2001-04-04,9.293788582561928e-10,0.9999999990706208,1.1683873138360646e-18,Risk-Off,1
2001-04-05,8.297276063252307e-08,0.9999999170272388,5.756234942369388e-18,Risk-Off,1
