,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2007-09-03,2,Bear,6.307978593026842e-08,2.8255322487016312e-06,0.9999971113871535
2007-09-04,2,Bear,6.750658874775486e-10,1.7018180891395012e-08,0.9999999823066902
2007-09-05,2,Bear,1.3152468158650538e-08,4.1585774458425785e-07,0.9999995709896222
2007-09-06,2,Bear,9.98874092269581e-09,3.690678381079924e-07,0.999999620942689
2007-09-07,2,Bear,2.0154037078373446e-09,9.993642716260931e-08,0.9999998980474681
2007-09-10,2,Bear,4.0302746642219906e-10,1.4851906128727704e-08,0.999999984745955
2007-09-11,2,Bear,1.209666455359134e-08,4.219694789343364e-07,0.9999995659346528
2007-09-12,2,Bear,1.243491624501009e-08,4.0717209832867605e-07,0.9999995803937934
2007-09-13,2,Bear,9.231350079461417e-09,3.9287394855422506e-07,0.9999995978942833
2007-09-14,2,Bear,7.227068725306921e-10,2.7834559682828784e-08,0.9999999714418668
2007-09-17,2,Bear,3.004025182070018e-10,3.3775707405747813e-09,0.9999999963220034
2007-09-18,2,Bear,6.136941802883876e-07,2.6576602362044087e-06,0.999996728645677
2007-09-19,2,Bear,4.093499802831766e-05,1.0138775600748958e-05,0.9999489262264465
2007-09-20,2,Bear,0.0017600800488392404,0.0017977910209989035,0.9964421289305704
2007-09-21,2,Bear,0.03186364850085043,0.008560116429168589,0.9595762350694685
2007-09-24,2,Bear,0.06024021979934959,0.08588206274107282,0.853877717459654
2007-09-25,0,Bull,0.6846831574198734,0.18916897353010098,0.1261478690498676
2007-09-26,1,Neutral,0.22874476141530967,0.7534423966901151,0.017812841894487244
2007-09-27,0,Bull,0.76226264961308,0.23603032462025716,0.0017070257657619897
2007-09-28,1,Neutral,0.2246278869530771,0.7749160481879969,0.00045606485955917633
2007-10-01,0,Bull,0.770513622823461,0.22916863633263435,0.0003177408441309944
2007-10-02,1,Neutral,0.21759702979524387,0.7821020756086818,0.0003008945962974279
2007-10-03,0,Bull,0.7781807815667575,0.22167981662123057,0.0001394018119566881
2007-10-04,1,Neutral,0.2091597804227508,0.7907624627001425,7.775687798714283e-05
2007-10-05,0,Bull,0.7871300487682653,0.2128209536916112,4.899753979508664e-05
2007-10-08,1,Neutral,0.20045514458564834,0.7995226262177031,2.2229196443292514e-05
2007-10-09,0,Bull,0.7958822601743225,0.20409882867831416,1.8911147427517947e-05
2007-10-10,1,Neutral,0.19155702045097095,0.8083763682593584,6.661128921005836e-05
2007-10-11,0,Bull,0.8048945151100435,0.19465133747516522,0.00045414741474269533
2007-10-12,1,Neutral,0.18049455551880095,0.8182585391510354,0.001246905330350393
