Date,P1_down,P1_range,P1_up,P1_down_smooth10,P1_range_smooth10,P1_up_smooth10,P2_Bull,P2_Neutral,P2_Bear,regime_age_days,RSI_14,MACD_signal_diff,Bollinger_pct_b,Stochastic_K_14,volume_zscore_20,OBV_change_20d,RSI_14_x_PBull,RSI_14_x_PBear,MACD_signal_diff_x_PBull,MACD_signal_diff_x_PBear,Bollinger_pct_b_x_PBull,Bollinger_pct_b_x_PBear,signal_label,forward_return,eps_threshold
2021-04-30,0.0269426521674381,0.5035850416233666,0.4694723062091954,0.11802393098090078,0.5245287922652627,0.35744727675383653,1.0,0.0,0.0,73,70.05313129388566,33.37238877566574,0.9663599034192684,96.85001201752137,-0.6161888594478294,0.13954667269561322,70.05313129388566,0.0,33.37238877566574,0.0,0.9663599034192684,0.0,Buy,0.27029217920925824,0.022194580710387143
2021-05-01,0.0549652352351166,0.4008150456825218,0.5442197190823618,0.09174630649928077,0.5138552180083651,0.3943984754923542,1.0,0.0,0.0,74,74.2305990963842,42.86623738127835,1.0691479430311326,99.40957233291027,-0.839294653903099,0.14427882342776763,74.2305990963842,0.0,42.86623738127835,0.0,1.0691479430311326,0.0,Buy,0.18499910950901002,0.022829593144106507
2021-05-02,0.0504482712848849,0.469065597713132,0.4804861310019828,0.0723712106210131,0.5228855335323196,0.4047432558466674,1.0,0.0,0.0,75,74.36803087596586,45.57900148774917,0.9982181751153275,96.44922814702484,-1.012559494622289,0.18476521918453623,74.36803087596586,0.0,45.57900148774917,0.0,0.9982181751153275,0.0,Buy,0.1804413005963964,0.022706577844193828
2021-05-03,0.0504233760531557,0.3358795653609483,0.6136970585858968,0.05446929129198289,0.5190604475501955,0.42647026115782155,1.0,0.0,0.0,76,82.2786647571005,73.97266990174015,1.224902064269719,98.63646727229867,1.4467512872299315,0.19545063668157467,82.2786647571005,0.0,73.97266990174015,0.0,1.224902064269719,0.0,Buy,0.13743797108938133,0.027275308814287417
2021-05-04,0.0658370368921757,0.4291565691777241,0.5050063939301003,0.04784915043809536,0.49558003717249444,0.4565708123894102,1.0,0.0,0.0,77,73.2587325606546,74.91013496933667,0.9895035392087979,80.80713544055125,2.38119594797234,0.11892935162483113,73.2587325606546,0.0,74.91013496933667,0.0,0.9895035392087979,0.0,Buy,0.20752681087961716,0.02807141679699272
2021-05-05,0.0693324923138365,0.4201015651645259,0.5105659425216381,0.04268901486748568,0.47175202391604965,0.48555896121646464,1.0,0.0,0.0,78,77.31992146091434,86.92034973016393,1.058898051508399,98.68863096816368,0.8919648100798508,0.12759412988145244,77.31992146091434,0.0,86.92034973016393,0.0,1.058898051508399,0.0,Buy,0.12192369425586237,0.028991540000173836
2021-05-06,0.0914729392926248,0.4895755694660783,0.4189514912412971,0.049635957096161254,0.4499084073158305,0.5004556355880082,1.0,0.0,0.0,79,75.84951499974035,85.8303136395023,0.9611374383089669,92.71079021576742,0.45445513384993363,0.12504602191284872,75.84951499974035,0.0,85.8303136395023,0.0,0.9611374383089669,0.0,Buy,0.19416901432485287,0.028513224215629324
2021-05-07,0.0994502634676729,0.5610251870795441,0.3395245494527827,0.057139777119667154,0.44995089002127087,0.49290933285906213,1.0,0.0,0.0,80,75.55117306084745,78.03420928197175,0.9016183394465914,92.04523669022049,-0.04116061528256627,0.12264043006739661,75.55117306084745,0.0,78.03420928197175,0.0,0.9016183394465914,0.0,Buy,0.08641120401865002,0.027888365494621453
2021-05-08,0.1073372893756836,0.5189171764663142,0.3737455341580018,0.06511156857398656,0.4569504668479176,0.4779379645780959,1.0,0.0,0.0,81,81.01480464779281,93.32886123581432,1.028190525207858,97.3269576916284,1.0169074985329059,0.2060289929241223,81.01480464779281,0.0,93.32886123581432,0.0,1.028190525207858,0.0,Sell,-0.04804411818523895,0.028768006975755874
2021-05-09,0.1217751960299505,0.5444352475576905,0.3337895564123583,0.07379847521125392,0.46725565652918466,0.4589458682595615,1.0,0.0,0.0,82,81.29695493401371,97.08310315707178,0.9706141426370762,96.86694166609023,0.9549959226114257,0.2793135748043891,81.29695493401371,0.0,97.08310315707178,0.0,0.9706141426370762,0.0,Buy,0.03823328661191503,0.027998834095866426
