Date,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ADX_14,DI_plus_14,DI_minus_14,PSAR,PSAR_up,PSAR_down,SMA20_SMA50_cross,SMA50_SMA200_cross,price_dist_SMA20_pct,price_dist_SMA50_pct,price_dist_SMA200_pct
2019-12-20,7269.602392578125,7931.984404296875,9347.21108154297,7186.195392055883,7386.208962821496,31.966517878093775,15.993519277545582,26.12979684190583,6540.04931640625,0.0,0.0,-662.3820117187506,-1415.2266772460944,-0.6986074834020415,-8.991041354803238,-22.770371362381063
2019-12-21,7257.945703125,7890.58548828125,9344.62802001953,7186.958976571324,7371.760794568515,31.402005306011755,15.535142825728995,25.380913287559114,6556.180380859375,0.0,0.0,-632.6397851562497,-1454.0425317382806,-0.9201916692487019,-8.8640671584353,-23.044997874712404
2019-12-22,7267.425732421875,7854.32291015625,9343.064807128907,7236.90203666612,7382.118429577328,29.39305127447594,21.64863833518081,23.11539864458739,6571.988824023438,0.0,0.0,-586.897177734375,-1488.7418969726568,3.3596921902669004,-4.363635756884509,-19.602517779219102
2019-12-23,7269.199877929687,7816.728388671875,9340.73283203125,7255.1676337896015,7380.156206495211,27.634599352146402,23.32471449109111,21.198837602511375,6609.8305991875,0.0,0.0,-547.5285107421878,-1524.0044433593748,1.1889690955048833,-5.898886948296149,-21.252127105650402
2019-12-24,7272.724755859375,7774.926787109375,9337.125737304688,7265.531417293124,7375.887763537233,25.752606380092256,21.757559830096053,21.204764571513355,6672.611339408126,0.0,0.0,-502.2020312499999,-1562.198950195313,0.6848529591745726,-5.8186343477463165,-21.576163451384915
2019-12-25,7264.067163085938,7733.57935546875,9333.730876464844,7267.012085666297,7368.4261337729,24.03678845614274,20.981734365210475,21.720984813347314,6731.625235215513,0.0,0.0,-469.5121923828119,-1600.1515209960944,0.15265000149174626,-5.927702719256751,-22.055222525612187
2019-12-26,7248.665673828125,7691.14109375,9331.485324707031,7262.697425852251,7358.836553261945,22.343449828183576,20.76337705881088,20.626769845531207,6787.098297274458,0.0,0.0,-442.4754199218751,-1640.344230957031,-0.1338022387781508,-5.879157479537695,-22.42428139807129
2019-12-27,7235.358203125,7651.591630859375,9327.934118652343,7266.911418629789,7353.744095902263,20.775784866264324,19.772448750459073,19.929725085341758,6839.242975609865,0.0,0.0,-416.23342773437525,-1676.3424877929683,0.7564266238762284,-4.724549732831513,-21.84669953522905
2019-12-28,7223.040454101562,7621.853818359375,9324.885498046875,7274.769697975206,7351.095661715059,19.448510693363136,20.1547045879138,19.289323730599513,6888.258973245149,0.0,0.0,-398.8133642578123,-1703.0316796875004,1.3145403362585488,-3.986741168564974,-21.52192929438356
2019-12-29,7224.128125,7594.035234375,9321.269475097657,7297.520949368444,7356.396192849591,18.792289051482438,22.103974718358977,17.989790050343522,6934.334011022315,0.0,0.0,-369.9071093749999,-1727.234240722657,2.748078433772931,-2.2568028334655876,-20.368648799808632
2019-12-30,7224.871899414063,7558.784609375,9316.57983154297,7296.824667494453,7351.699816874621,18.161342510595723,20.945077990997554,17.151068485338435,6977.644546532852,0.0,0.0,-333.9127099609377,-1757.7952221679689,0.9428986246657483,-3.5162993248656313,-21.720253042905902
2019-12-31,7223.680493164063,7527.500830078125,9309.078662109376,7280.943814202037,7339.988654224187,16.93724419007841,19.903159660389377,19.499687889247383,7018.356449912755,0.0,0.0,-303.82033691406195,-1781.577832031251,-0.41642722292021894,-4.435757850071326,-22.72490777874974
2020-01-01,7221.532495117188,7495.19107421875,9300.887658691407,7268.51773761807,7329.632036608043,15.800581463883761,19.40455624784417,19.011192037782415,7056.625639089865,0.0,0.0,-273.6585791015623,-1805.6965844726565,-0.2957568732866482,-3.936080546729101,-22.586159723390505
2020-01-02,7207.32177734375,7458.735224609375,9290.842568359374,7224.971964883559,7304.1385683292065,15.861149920681076,17.735693134884183,24.82071344729623,7656.17626953125,0.0,1.0,-251.4134472656251,-1832.107343749999,-3.078141497683528,-6.345110739474073,-24.81338303338315
2020-01-03,7218.332299804688,7431.471015625,9280.965227050781,7243.420012954358,7307.156768996951,14.777871103266966,20.978288555753796,21.27203242383639,7641.75814453125,0.0,0.0,-213.13871582031243,-1849.494211425781,1.753202433510665,-1.165135921262396,-20.86077150751551
2020-01-04,7231.250048828125,7409.844306640625,9272.609697265625,7269.148739927726,7314.82343338838,13.743785653943979,20.648909284316268,20.52510938079528,7612.6876624999995,0.0,0.0,-178.59425781250047,-1862.7653906249998,2.4809913672145703,0.01096422012398582,-20.080139462070115
2020-01-05,7255.19189453125,7387.055439453125,9263.298676757813,7291.020838833076,7321.971133345723,13.37903258387409,23.3285138783274,19.61903026830386,7584.77999975,0.0,0.0,-131.86354492187456,-1876.2432373046886,2.1519139748589255,0.3284386256233591,-19.99267602794724
2020-01-06,7311.627099609375,7370.8803125,9254.508972167969,7364.589823363564,7355.100622600206,14.04758987878036,27.75266062458422,17.469637093293382,6914.99609375,1.0,0.0,-59.253212890625036,-1883.6286596679683,6.2584173459327745,5.404224582316464,-16.04936294679256
2020-01-07,7355.97158203125,7367.9684375,9244.604650878906,7487.528678663401,7414.996308541858,15.8673170102109,35.672497188369604,15.462155007830225,6932.333515625,0.0,0.0,-11.996855468749345,-1876.6362133789062,10.980477449835508,10.799774076970595,-11.692357963232544
2020-01-08,7399.822509765625,7365.442783203125,9231.4955078125,7578.657003941146,7464.245677758664,18.050609742686046,37.3132449877905,13.649501350263272,6982.1688078125,0.0,0.0,34.379726562499854,-1866.0527246093752,9.189953979378135,9.699620658174931,-12.475039541200426
2020-01-09,7432.83525390625,7362.47884765625,9216.614008789062,7624.874586267509,7494.973500818207,19.44513024765097,34.910102440470375,15.840953173120184,7067.04297621875,0.0,0.0,70.35640624999996,-1854.1351611328118,6.003577637776048,7.016555865158114,-14.512300487479097
