fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.54,0.45956913787102466,0.6163522012578616,0.17857142857142858,0.5837837837837838,btc,random_forest
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.57,0.4045380545380546,0.42857142857142855,0.05,0.7350427350427351,btc,random_forest
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.69,0.4075235109717868,0.43636363636363634,0.0,0.7862068965517242,btc,random_forest
1,2014-11-18,2016-12-13,2016-12-24,2017-07-11,750,200,0.54,0.3909594618516552,0.32142857142857145,0.16,0.6914498141263941,btc,mlp
2,2014-11-18,2017-07-01,2017-07-12,2018-01-28,950,200,0.625,0.49761323206299285,0.3157894736842105,0.4462809917355372,0.7307692307692307,btc,mlp
3,2014-11-18,2018-01-18,2018-01-29,2018-08-16,1150,200,0.5,0.4559133199464525,0.464,0.2891566265060241,0.6145833333333334,btc,mlp
4,2014-11-18,2018-08-06,2018-08-17,2019-03-06,1350,200,0.215,0.1330827067669173,0.05714285714285714,0.0,0.34210526315789475,btc,mlp
5,2014-11-18,2019-02-24,2019-03-07,2019-09-22,1550,200,0.575,0.5551463763079655,0.592,0.4329896907216495,0.6404494382022472,btc,mlp
6,2014-11-18,2019-09-12,2019-09-23,2020-04-11,1750,200,0.475,0.4610566448801743,0.39705882352941174,0.4583333333333333,0.5277777777777778,btc,mlp
7,2014-11-18,2020-04-01,2020-04-12,2020-10-29,1950,200,0.495,0.3744084078998127,0.3673469387755102,0.16666666666666666,0.5892116182572614,btc,mlp
8,2014-11-18,2020-10-19,2020-10-30,2021-05-18,2150,200,0.25,0.16936367647268122,0.0,0.07207207207207207,0.43601895734597157,btc,mlp
9,2014-11-18,2021-05-08,2021-05-19,2021-12-06,2350,200,0.49,0.43140050078979936,0.21951219512195122,0.4186046511627907,0.656084656084656,btc,mlp
10,2014-11-18,2021-11-26,2021-12-07,2022-06-24,2550,200,0.455,0.41795299680155745,0.5588235294117647,0.3333333333333333,0.3617021276595745,btc,mlp
11,2014-11-18,2022-06-14,2022-06-25,2023-01-14,2750,200,0.685,0.5774976657329599,0.47058823529411764,0.4444444444444444,0.8174603174603174,btc,mlp
12,2014-11-18,2023-01-04,2023-01-15,2023-08-02,2950,200,0.75,0.5075585789871505,0.7777777777777778,0.0,0.7448979591836735,btc,mlp
13,2014-11-18,2023-07-23,2023-08-03,2024-02-19,3150,200,0.615,0.3660130718954248,0.3333333333333333,0.0,0.7647058823529411,btc,mlp
14,2014-11-18,2024-02-09,2024-02-20,2024-09-06,3350,200,0.505,0.44035254173557536,0.5694444444444444,0.2033898305084746,0.5482233502538071,btc,mlp
15,2014-11-18,2024-08-27,2024-09-07,2025-03-28,3550,200,0.6,0.48632509310204347,0.5046728971962616,0.23529411764705882,0.71900826446281,btc,mlp
16,2014-11-18,2025-03-18,2025-03-29,2025-10-16,3750,200,0.75,0.39832129342965256,0.3466666666666667,0.0,0.848297213622291,btc,mlp
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.525,0.37272727272727274,0.0,0.4090909090909091,0.7090909090909091,eth,xgboost
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.56,0.3813813813813814,0.0,0.7387387387387387,0.40540540540540543,eth,xgboost
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.615,0.45319495319495323,0.0,0.6373626373626373,0.7222222222222222,eth,xgboost
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.49,0.4436514855869695,0.5285714285714286,0.24324324324324326,0.5591397849462365,eth,xgboost
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.37,0.36864038704711644,0.41134751773049644,0.4,0.29457364341085274,eth,xgboost
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.54,0.34428794992175277,0.36619718309859156,0.0,0.6666666666666666,eth,xgboost
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.745,0.4994161041328435,0.6950354609929078,0.0,0.8032128514056225,eth,xgboost
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.665,0.6490358557431728,0.7439024390243902,0.575,0.6282051282051282,eth,xgboost
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.335,0.26933305723801143,0.291970802919708,0.02666666666666667,0.48936170212765956,eth,xgboost
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.44,0.41737882746610033,0.5671641791044776,0.1941747572815534,0.49079754601226994,eth,xgboost
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.56,0.39114163694800336,0.0,0.44776119402985076,0.7256637168141593,eth,lightgbm
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.535,0.36828602508055747,0.0,0.7155963302752294,0.38926174496644295,eth,lightgbm
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.635,0.46116226116226117,0.0,0.6483516483516484,0.7351351351351352,eth,lightgbm
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.455,0.3802032666786765,0.45901639344262296,0.11428571428571428,0.5673076923076923,eth,lightgbm
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.38,0.37926984981060846,0.37037037037037035,0.3728813559322034,0.3945578231292517,eth,lightgbm
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.55,0.408469111760251,0.41333333333333333,0.15384615384615385,0.6582278481012658,eth,lightgbm
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.79,0.5323771766169154,0.7611940298507462,0.0,0.8359375,eth,lightgbm
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.63,0.622760425782118,0.7006369426751592,0.5822784810126582,0.5853658536585366,eth,lightgbm
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.32,0.2599124693913443,0.24806201550387597,0.05,0.4816753926701571,eth,lightgbm
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.515,0.4800288278549148,0.6495726495726496,0.18181818181818182,0.6086956521739131,eth,lightgbm
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.585,0.4147982062780269,0.0,0.5,0.7443946188340808,eth,random_forest
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.61,0.4207757296466974,0.0,0.7373271889400922,0.525,eth,random_forest
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.625,0.4504230632821604,0.0,0.6976744186046512,0.6535947712418301,eth,random_forest
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.51,0.45606060606060606,0.5714285714285714,0.22857142857142856,0.5681818181818182,eth,random_forest
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.45,0.43910299752084736,0.5333333333333333,0.35294117647058826,0.43103448275862066,eth,random_forest
