phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P5.1,baseline,eth,3stage_full,xgboost,prob_weighted,0.1660513190772544,0.0629487436799205,-0.2449277366912234,111,0.6306306306306306
P5.1,baseline,eth,3stage_full,lightgbm,stateful,-0.0871253965209084,-0.4781151950083977,-0.6982090700510153,103,0.5048543689320388
P5.1,baseline,eth,3stage_full,lightgbm,defensive,0.0274098964026399,-0.2875680232943246,-0.6433765328979018,165,0.4969696969696969
P5.1,baseline,eth,3stage_full,lightgbm,prob_weighted,0.3357577858348306,0.1914947150597692,-0.1804997393203326,132,0.5454545454545454
P5.1,baseline,eth,3stage_full,random_forest,stateful,0.1557882325879343,-0.1179503255984264,-0.6335817443497497,77,0.5454545454545454
P5.1,baseline,eth,3stage_full,random_forest,defensive,0.0976928652452543,-0.1717766422976379,-0.6432864979604549,112,0.5178571428571429
P5.1,baseline,eth,3stage_full,random_forest,prob_weighted,0.1521296870320707,0.039474873226343,-0.1424124100290547,102,0.5686274509803921
P5.1,baseline,eth,3stage_full,mlp,stateful,0.1455190367773484,-0.1633692579101789,-0.6235027643655771,101,0.4851485148514851
P5.1,baseline,eth,3stage_full,mlp,defensive,0.3180933428485127,0.2484003394798708,-0.4398764830298731,134,0.4925373134328358
P5.1,baseline,eth,3stage_full,mlp,prob_weighted,0.2896110139831,0.21571013711732,-0.4215025575871846,125,0.456
P7,regime_aware,btc,3stage_full_regime,xgboost,stateful,1.0617710721370897,21.329874073706005,-0.4275946182787585,168,0.6488095238095238
P7,regime_aware,btc,3stage_full_regime,xgboost,defensive,0.9439852977870146,11.690178586385189,-0.3286601838223622,229,0.6244541484716157
P7,regime_aware,btc,3stage_full_regime,xgboost,prob_weighted,0.7424411840624896,1.2631465267847355,-0.235182779906398,218,0.6284403669724771
P7,regime_aware,btc,3stage_full_regime,lightgbm,stateful,1.1698996786475946,26.27218021431674,-0.2857787376023222,129,0.5736434108527132
P7,regime_aware,btc,3stage_full_regime,lightgbm,defensive,1.1588598981230367,19.09288451996054,-0.3935230578884997,197,0.5736040609137056
P7,regime_aware,btc,3stage_full_regime,lightgbm,prob_weighted,0.8611143932476898,0.7376892400262367,-0.1174577207073511,188,0.5478723404255319
P7,regime_aware,btc,3stage_full_regime,random_forest,stateful,1.19795878742677,29.42593568153875,-0.4397162901468759,133,0.6090225563909775
P7,regime_aware,btc,3stage_full_regime,random_forest,defensive,1.012745323026672,12.676996343487776,-0.4747862051634161,188,0.5851063829787234
