,flat_xgboost_stateful,flat_xgboost_defensive,flat_xgboost_prob_weighted,flat_lightgbm_stateful,flat_lightgbm_defensive,flat_lightgbm_prob_weighted,flat_random_forest_stateful,flat_random_forest_defensive,flat_random_forest_prob_weighted,flat_mlp_stateful,flat_mlp_defensive,flat_mlp_prob_weighted,2stage_trend_xgboost_stateful,2stage_trend_xgboost_defensive,2stage_trend_xgboost_prob_weighted,2stage_trend_lightgbm_stateful,2stage_trend_lightgbm_defensive,2stage_trend_lightgbm_prob_weighted,2stage_trend_random_forest_stateful,2stage_trend_random_forest_defensive,2stage_trend_random_forest_prob_weighted,2stage_trend_mlp_stateful,2stage_trend_mlp_defensive,2stage_trend_mlp_prob_weighted,2stage_macro_xgboost_stateful,2stage_macro_xgboost_defensive,2stage_macro_xgboost_prob_weighted,2stage_macro_lightgbm_stateful,2stage_macro_lightgbm_defensive,2stage_macro_lightgbm_prob_weighted,2stage_macro_random_forest_stateful,2stage_macro_random_forest_defensive,2stage_macro_random_forest_prob_weighted,2stage_macro_mlp_stateful,2stage_macro_mlp_defensive,2stage_macro_mlp_prob_weighted,3stage_full_xgboost_stateful,3stage_full_xgboost_defensive,3stage_full_xgboost_prob_weighted,3stage_full_lightgbm_stateful,3stage_full_lightgbm_defensive,3stage_full_lightgbm_prob_weighted,3stage_full_random_forest_stateful,3stage_full_random_forest_defensive,3stage_full_random_forest_prob_weighted,3stage_full_mlp_stateful,3stage_full_mlp_defensive,3stage_full_mlp_prob_weighted,BUY_AND_HOLD
2023-09-27,0.5219777706802678,0.536836902485044,0.8985196074101555,0.6598072971065412,0.5518033440943969,0.9418352751947504,0.6818131015947739,0.5865763240782383,0.9329492327588526,0.8713903755160057,0.8713903755160057,0.9638341700708376,0.5535854634903503,0.7373387261371924,0.8681426118718069,0.3799036421377569,0.6345940455618133,0.8852419977832445,0.30289683351118624,0.37790849542948146,0.9010950932710804,0.6882630856341692,0.7202970547011645,0.7672816049178036,0.5310466737202302,0.4257792628090743,0.8400087586943725,0.464714992190464,0.41374092943578633,0.9552979700587453,0.6597203460473807,0.5048234337075779,0.8841393978292567,1.2658319687647486,1.093520999253722,1.149406878783413,0.5250491214803596,0.4925315480484734,0.8810559357422035,0.5539828581614012,0.5098399298819634,1.0076711146972215,0.5184824908049348,0.4824160333187927,0.911195261559069,0.44234058867753356,0.6781907811206596,0.8284502433491293,0.5762839583806716
2023-09-28,0.5400768505262509,0.5363000655825589,0.8982137513865369,0.6591474898094346,0.5512515407503025,0.9419067273527345,0.7054543186330373,0.5859897477541601,0.9328060851667318,0.8705189851404898,0.8705189851404898,0.9635566225173491,0.572780509846883,0.7629052410876286,0.8793865866957535,0.39307643749237514,0.6339594515162515,0.8961761157230428,0.313399491445584,0.3910121109806562,0.9071159644349237,0.7114396866129584,0.7445523689428458,0.7898004366178245,0.5494602091033174,0.4405427514233539,0.8414949076467989,0.48082853997300473,0.41332718850635053,0.9577925355998533,0.6825955179221711,0.5043186102738703,0.8840487251245954,1.3084576493491198,1.1303442727818647,1.1544736757726215,0.5432546974771144,0.5096096082945587,0.8912188115912844,0.5731916837979832,0.5093300899520814,1.019819299838747,0.5364603751650157,0.49914334776867847,0.9155171747815048,0.457678325422836,0.7017063976617921,0.8548681903835389,0.5962660533329102
2023-09-29,0.5449980602450651,0.5406505609653907,0.9006940273738929,0.6644945301979269,0.5557233233151768,0.9440458032403365,0.7118824568612424,0.5913293182966919,0.9340311677523908,0.8784512016128517,0.8784512016128517,0.9660128851861358,0.5779997170931467,0.7698568752547226,0.8836337734866508,0.39665817142994253,0.6397361246158224,0.9009848456520808,0.31625520470504076,0.39457503466245647,0.9102486325584902,0.7107282469263455,0.7438078165739029,0.7890745512353254,0.5539174602881688,0.44411645825094004,0.8423781755974238,0.4847290473145692,0.41668012120316533,0.9597439312047223,0.6888153655115363,0.5089139889571824,0.8848036738172166,1.3084576493491198,1.1303442727818647,1.1544736757726215,0.5482048639106708,0.5142531988404164,0.8955766036264682,0.5784146376837156,0.513971133511557,1.025781218454475,0.5413486313630889,0.5036915691777746,0.9175897756128331,0.4618487152867356,0.7081003846296885,0.8618972317817107,0.6016992621323648
2023-09-30,0.5460495424879338,0.5401099104044252,0.9004613980138014,0.663830035667729,0.5551675999918616,0.943812161243356,0.7132559145246747,0.5924701889221708,0.9341459209419855,0.8801460256995783,0.8801460256995783,0.9666342230687458,0.5791148704913684,0.7713421848235616,0.884464314585266,0.39742345676611385,0.6409703880457742,0.9016747460466807,0.31686536601793175,0.39533630093602873,0.9107647428510236,0.7113887494885935,0.7444990610415202,0.7897485198128427,0.5533635428278806,0.4436723417926891,0.8422169871448826,0.4842443182672546,0.41626344108196217,0.9597264351167683,0.6894555037300519,0.5093869390546687,0.8848217947124288,1.3084576493491198,1.1303442727818647,1.1544736757726215,0.5492625331427359,0.5152453640357861,0.8963566992299519,0.5795305916015447,0.5149627545092381,1.0265166292435912,0.5423930726457306,0.504663357482186,0.9179556508553943,0.46273977483068585,0.7094665454198238,0.8634071291114183,0.6028601398231861
2023-10-01,0.566519861971977,0.5598174548956741,0.9089473916934308,0.6887157133505787,0.5754245698533238,0.9523351866334753,0.739994470842623,0.6146807268099053,0.9368487925541518,0.9131409628559983,0.9131409628559983,0.9776901027921789,0.6008247438536021,0.8002582807567564,0.9006764805613187,0.41232207767400514,0.664358132274586,0.918731593966004,0.3287440231197435,0.4101566784917506,0.9206320195998,0.7106773607391049,0.7437545619804786,0.789097747094915,0.5735546862045124,0.4598610697663507,0.8480973099939395,0.5019134375762127,0.4314520723719536,0.9603648211921929,0.6887660482263219,0.508877552115614,0.8848118465196063,1.3084576493491198,1.1303442727818647,1.1544736757726215,0.5698533013042075,0.5345608956749648,0.9111946741342399,0.6012560495275943,0.5337527289206089,1.044440136657108,0.5627263182930068,0.5235821905838154,0.924964606218094,0.4800869755729476,0.7360630457699824,0.8920263540417434,0.6254601764611589
2023-10-02,0.5435877210968368,0.5592576374407785,0.9089149317669808,0.6608372101918326,0.5748491452834704,0.9521564249170414,0.7100402563635069,0.5897990836996844,0.9353483196232005,0.8761779566055472,0.8761779566055472,0.9640529169832996,0.5765039766710344,0.7678646492838334,0.8906846108458684,0.39563170438640716,0.6636937741423113,0.9157528873153337,0.31543680345086766,0.3935539583341338,0.9141660464632655,0.6819098726999157,0.7136481428824873,0.7626469143052708,0.572981131518308,0.45940120869658435,0.8479850338037871,0.5014115241386364,0.43102062029958166,0.9601637826202164,0.6608855075636171,0.48827871261033823,0.8843745875787036,1.3071491916997706,1.1292139285090828,1.1539664537759338,0.5467862262361172,0.5129224208591149,0.9022481384034249,0.5769178235353004,0.5332189761916882,1.0375574732710438,0.5399477361611723,0.5023881224493137,0.9200685305231686,0.46065354897103367,0.7062679713310619,0.8614074798176053,0.6001421923246966
2023-10-03,0.5407758801253244,0.5563647399790511,0.908747030823395,0.6574188674460325,0.5718755969187548,0.9512319096140777,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.8725218889261616,0.8725218889261616,0.9624591044181564,0.574098372261275,0.7646605454768104,0.8897928453120484,0.3939808339479962,0.660924348892158,0.9138113357626317,0.31412056592937904,0.39191175780134013,0.9132329442090136,0.6790644363053607,0.7106702707619029,0.7594920262796072,0.5700172459135047,0.4570248431334165,0.8474043345504532,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6574669149878014,0.4857529710669774,0.8841444162119543,1.3016947907120724,1.1245020061010726,1.1513460295473157,0.5445046264375786,0.510782126104154,0.901298374884964,0.5745104922478751,0.5309939890755524,1.035379946893611,0.5376946716417403,0.5002917846412843,0.9193733277927169,0.4587313589192409,0.7033208947885607,0.8578546715915959,0.5976379516554899
2023-10-04,0.5407758801253244,0.5563647399790511,0.908747030823395,0.6567614485785864,0.571303721321836,0.9512266768407386,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.8678621834796152,0.8678621834796152,0.9610602967327913,0.5710323983917007,0.7605768738191256,0.8885474100017502,0.39187677826631956,0.6573946806656358,0.9119108340540674,0.31244300421945476,0.38981875202627586,0.9123495936139325,0.6754378908942166,0.7068749343085753,0.7554280056045773,0.5700172459135047,0.4570248431334165,0.8474043345504532,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6574669149878014,0.4857529710669774,0.8841444162119543,1.2947430862528444,1.1184966001748897,1.1513266525426997,0.541596698045543,0.5080542928139941,0.9001187996754069,0.5714423174504266,0.5281582142779437,1.0327446429247018,0.5348231118312334,0.49761997504734456,0.9188324306525663,0.45628150288836433,0.6995648076969813,0.8537954524812228,0.5944462646001437
2023-10-05,0.5407758801253244,0.5563647399790511,0.908747030823395,0.6422691519500473,0.5581258570109677,0.9511059767732887,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.847843812046698,0.847843812046698,0.9573262314902291,0.5584318248959371,0.7430331777655046,0.884326977226532,0.38322950683349855,0.6422310162658057,0.9033422775506977,0.305548542453375,0.3812168936225,0.9086481026850233,0.6605334742446414,0.6912768183572655,0.7389398208989011,0.5700172459135047,0.4570248431334165,0.8474043345504532,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6574669149878014,0.4857529710669774,0.8841444162119543,1.2648781508930704,1.0926970195329686,1.151094803864858,0.529645661610471,0.49633535893804015,0.8958306318192369,0.5588326985568164,0.5159755572731516,1.0229311182214649,0.5230215433968628,0.4866393422737852,0.9162915667618298,0.4462130573358959,0.6841279992089471,0.8406767409791197,0.5813290336558529
2023-10-06,0.540235104245199,0.5558083752390721,0.9086558480296291,0.6559617024703869,0.5575677311539567,0.9511015765409322,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.8469959682346513,0.8469959682346513,0.9571502743980985,0.5703370455520084,0.7422901445877391,0.885791742224837,0.3913995853235996,0.6415887852495399,0.9076875121459004,0.3120625387137533,0.38934406516621284,0.9116838410780947,0.674615402263463,0.7060141644218522,0.75449083969843,0.5700172459135047,0.4570248431334165,0.8474043345504532,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6574669149878014,0.4857529710669774,0.8841444162119543,1.2648781508930704,1.0926970195329686,1.151094803864858,0.5409371894029253,0.4958390235791021,0.8979711386871054,0.5707464654474953,0.5154595817158785,1.0287870728695347,0.534171851463884,0.4970140173753957,0.9184731357575263,0.4557258835581369,0.6987129394370524,0.8557669210722079,0.5937224004213363
2023-10-07,0.5359790391523668,0.5514296212381379,0.9079375663893442,0.6514498850297014,0.5537326843756009,0.9510359944182942,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.8411701842486663,0.8411701842486663,0.9559394365310926,0.5664141692324007,0.7371845452702985,0.8844577829818467,0.3887074716396916,0.6371758272062038,0.9044787143228938,0.30991611888550596,0.3866660897035773,0.9105058654603894,0.6699752814664339,0.7011580775368814,0.7493080049687924,0.5700172459135047,0.4570248431334165,0.8474043345504532,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6574669149878014,0.4857529710669774,0.8841444162119543,1.2648781508930704,1.0926970195329686,1.151094803864858,0.5372165303518374,0.4924285574712005,0.8969206884814412,0.5668207730674102,0.511914162033608,1.0251591308172843,0.5304977255710437,0.49359546945801824,0.9176536551349179,0.45259132252833006,0.6939070716336236,0.8504502734242776,0.5896386756077407
2023-10-08,0.5359790391523668,0.5514296212381379,0.9079375663893442,0.6510662131834146,0.5534065631401139,0.9509869617790527,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.8406747765050341,0.8406747765050341,0.9558068401974379,0.5660805792279103,0.7367503799384173,0.8843833472506727,0.38847854211381927,0.6368005620758365,0.9041640229022267,0.3097335935796317,0.386438362450964,0.9103819588730341,0.669580699075503,0.7007451300173111,0.7488666989684175,0.5700172459135047,0.4570248431334165,0.8474043345504532,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6574669149878014,0.4857529710669774,0.8841444162119543,1.2648781508930704,1.0926970195329686,1.151094803864858,0.5369001363163293,0.49213854134233026,0.896852768133762,0.5664869435933187,0.5116126698448745,1.0248434746126422,0.5301852885801132,0.4933047660755515,0.9175958491879321,0.45232476856567205,0.6934983945988384,0.8499832251218326,0.5892914075146591
2023-10-09,0.5354430601132144,0.5508781916168998,0.9078813154104814,0.6289957879776978,0.5346466921579964,0.9505099870520332,0.7063673987790169,0.5867482031073837,0.9349103248542528,0.8121768305181486,0.8121768305181486,0.9507955552152505,0.5474571536842966,0.7117753561597936,0.8808236628656366,0.375698027342908,0.6158505272413506,0.8867690673912528,0.2995437006031694,0.37333852897413305,0.903498106899722,0.6475522339554288,0.6776913895556143,0.7242274200427515,0.5694472286675911,0.4565678182902831,0.8472781452561624,0.4988178499027345,0.42879106029907316,0.9591240789319576,0.6568094480728136,0.48526721809591045,0.8841332939846888,1.2636132727421774,1.0916043225134355,1.1507692116959591,0.5192367151004293,0.47545558859864895,0.8935651944279978,0.5478501491111114,0.4947811783335055,1.0084075798912608,0.5127427784348998,0.47658227960207983,0.9145589999397685,0.4374437834938921,0.6706830637248442,0.8281122602139194,0.5699043713681284
2023-10-11,0.5308499283664906,0.5456017762039052,0.9073425662867775,0.6289957879776978,0.5346466921579964,0.9505099870520332,0.7063673987790169,0.5867482031073837,0.9348939700494198,0.8121768305181486,0.8121768305181486,0.9507955552152505,0.5427609627727424,0.7117753561597936,0.8792607359634891,0.37247521867263533,0.6105676450478439,0.8838279175510207,0.2969741581377565,0.3729651904451589,0.9026926379084799,0.6419974085313889,0.6712003333701995,0.7173601797613268,0.564562402737596,0.45265129327214554,0.8460828604467647,0.4988178499027345,0.42879106029907316,0.9590113894923998,0.6511752125168359,0.48110450420321493,0.883992211828994,1.2527737593168162,1.082240334365868,1.1479477940957663,0.5147826044435686,0.47545558859864895,0.8919299940884945,0.5431505870105259,0.49004207071380484,1.0052004853769378,0.5083443739938472,0.47610569732247776,0.9138708143517141,0.4336913080599068,0.6649298176722513,0.8214538611016347,0.5650156239816666
2023-10-12,0.5218200556780783,0.5450561744277013,0.906964806543276,0.6283667921897201,0.5341120454658385,0.950217243206661,0.7056610313802378,0.5861614549042764,0.9344371885632008,0.8113646536876304,0.8113646536876304,0.9507495594687477,0.5335284807996181,0.7110635808036337,0.8764408637073557,0.36613933422681433,0.6001817566680315,0.8788201127336436,0.291922563145582,0.36662097147296735,0.9010129524801271,0.6310768930418835,0.6712003333701995,0.716526775318748,0.5549590735310314,0.4449515963670896,0.8454098753841041,0.49831903205283173,0.4283622692387741,0.9566591874647448,0.6400985805862813,0.47292081199448677,0.8828208020215532,1.2314638053175295,1.0638311909990033,1.141817584843575,0.5060260404281252,0.4749801330100503,0.8888568606233491,0.5339114774444125,0.48955202864309105,1.0010700279558487,0.4996973256780264,0.4680070359055327,0.9119604942942081,0.42631412462521623,0.6536192169177488,0.8077118467047557,0.5554045853832099
2023-10-13,0.526048896144819,0.5494733208788309,0.9097862052732549,0.6334590896011619,0.538440500470705,0.9525282768778096,0.7113797228962719,0.5909117193940567,0.9359060862064218,0.8179399695335089,0.8179399695335089,0.951059768337174,0.5378522065844239,0.7161149911105394,0.8788198643994748,0.3691065349240582,0.6050456419717483,0.8814102587826723,0.29428830960310465,0.36959207536836286,0.9024258272698077,0.6361911531663867,0.6712003333701995,0.7165883018347069,0.5594564732802291,0.44855749325814126,0.8491072763885142,0.5023574197406213,0.4318337258814818,0.9610476318867821,0.6452859526522496,0.47675337198440004,0.8848219452793883,1.2414436133310143,1.0724525008573058,1.1454861764471627,0.5101268858703462,0.47882938177984063,0.8914260311678921,0.5382383070419071,0.4935193683548825,1.0060898873340038,0.5037468830857105,0.4717997745529289,0.9134624835821878,0.4297689830618387,0.6589161604987106,0.814165104222699,0.5599055955696233
2023-10-14,0.5265963584175244,0.5500451610922481,0.9099312123183062,0.6341183343128237,0.5390008587610933,0.9527703244644375,0.7128314398058964,0.5915266847998176,0.93599437433796,0.8196091445839238,0.8196091445839238,0.9511864282447107,0.5389498048403856,0.7153988761194289,0.87915152000692,0.3698597728657029,0.6062803622783223,0.8818780055778849,0.29488886553913307,0.369976712079965,0.9024857634412407,0.6374894323063164,0.6705291330368293,0.7159374297258023,0.5600387030208224,0.4490243097584663,0.8496349517739263,0.5033825835700648,0.4327149715816768,0.9617160839528259,0.6466027916045809,0.4777262854784935,0.8849793258631019,1.2439770348326569,1.074641061172077,1.1461975383628742,0.5111679048963833,0.47932770241791905,0.8917286438227959,0.5393366932154111,0.49452649631932755,1.006889804255827,0.5047748824014188,0.472762579210738,0.9135962454332268,0.4306460152288547,0.6602608146987577,0.8158032217884871,0.5610481983100732
2023-10-15,0.5265963584175244,0.5500451610922481,0.9099312123183062,0.6341183343128237,0.5390008587610933,0.9527703244644375,0.714120735850348,0.5915266847998176,0.93599437433796,0.8210915691363484,0.8210915691363484,0.9515171952170736,0.5399246017036214,0.7166928158780864,0.8794341393764721,0.3705287371053938,0.6067706593525373,0.8821266725144683,0.2954222301280967,0.369976712079965,0.9024693433965254,0.6386424574922931,0.6717419170284408,0.7172066815993556,0.5594786643178016,0.44857528544870784,0.8494657863123705,0.5042930501089978,0.4330649068554143,0.9618311697042735,0.6477723000956405,0.4781126212640787,0.88499559910455,1.2462270122899295,1.0765847611718298,1.1467426455875618,0.5120924527221821,0.4788483747155011,0.8918002643446148,0.5403121898424673,0.4954209448803431,1.007158484610106,0.5056878671869887,0.4731449008622497,0.9135871064589104,0.4314249233591479,0.6614550264144045,0.8172340901687776,0.5620629644699734
