fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_sell,f1_hold,f1_buy,asset,model
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.36,0.28779861718780814,0.43956043956043955,0.03389830508474576,0.389937106918239,btc,random_forest
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.4,0.3683700914470145,0.4484848484848485,0.24242424242424243,0.41420118343195267,btc,random_forest
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.385,0.3769311200588438,0.445859872611465,0.32967032967032966,0.35526315789473684,btc,random_forest
1,2016-12-24,2019-01-15,2019-01-26,2019-08-13,750,200,0.35,0.31052393857271904,0.35365853658536583,0.1388888888888889,0.43902439024390244,btc,mlp
2,2016-12-24,2019-08-03,2019-08-14,2020-03-02,950,200,0.36,0.2924136089039146,0.36496350364963503,0.06451612903225806,0.44776119402985076,btc,mlp
3,2016-12-24,2020-02-21,2020-03-03,2020-09-18,1150,200,0.31,0.2565252584120508,0.34594594594594597,0.07142857142857142,0.3522012578616352,btc,mlp
4,2016-12-24,2020-09-08,2020-09-19,2021-04-08,1350,200,0.4,0.37220093656875264,0.4074074074074074,0.27586206896551724,0.43333333333333335,btc,mlp
5,2016-12-24,2021-03-29,2021-04-09,2021-10-26,1550,200,0.345,0.30322596229331983,0.26153846153846155,0.18181818181818182,0.46632124352331605,btc,mlp
6,2016-12-24,2021-10-16,2021-10-27,2022-05-15,1750,200,0.495,0.437547068316299,0.6035502958579881,0.21212121212121213,0.49696969696969695,btc,mlp
7,2016-12-24,2022-05-05,2022-05-16,2022-12-05,1950,200,0.385,0.3535141329258977,0.4919786096256685,0.2597402597402597,0.3088235294117647,btc,mlp
8,2016-12-24,2022-11-25,2022-12-06,2023-06-23,2150,200,0.39,0.3292605105105105,0.36486486486486486,0.13333333333333333,0.4895833333333333,btc,mlp
9,2016-12-24,2023-06-13,2023-06-24,2024-01-10,2350,200,0.44,0.3546680401524065,0.3076923076923077,0.1643835616438356,0.5919282511210763,btc,mlp
10,2016-12-24,2023-12-31,2024-01-11,2024-07-28,2550,200,0.385,0.3281224423305316,0.36024844720496896,0.13793103448275862,0.4861878453038674,btc,mlp
11,2016-12-24,2024-07-18,2024-07-29,2025-02-16,2750,200,0.395,0.3346894390072283,0.3851851851851852,0.1111111111111111,0.5077720207253886,btc,mlp
12,2016-12-24,2025-02-06,2025-02-17,2025-09-05,2950,200,0.435,0.41240136787619924,0.4307692307692308,0.3170731707317073,0.48936170212765956,btc,mlp
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.37,0.3390506992646656,0.33112582781456956,0.22535211267605634,0.4606741573033708,eth,xgboost
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.445,0.4080254777070064,0.4840764331210191,0.24,0.5,eth,xgboost
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.4,0.3459765240401666,0.10204081632653061,0.3956043956043956,0.5402843601895735,eth,xgboost
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.365,0.3321381348681652,0.35384615384615387,0.18604651162790697,0.45652173913043476,eth,xgboost
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.33,0.31221839163015636,0.4235294117647059,0.21153846153846154,0.30158730158730157,eth,xgboost
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.395,0.3912667579250148,0.4563758389261745,0.3464566929133858,0.3709677419354839,eth,xgboost
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.4,0.35666712599329387,0.4146341463414634,0.2033898305084746,0.4519774011299435,eth,lightgbm
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.435,0.394694054038601,0.45161290322580644,0.23529411764705882,0.4971751412429379,eth,lightgbm
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.36,0.28956458987690686,0.1276595744680851,0.22727272727272727,0.5137614678899083,eth,lightgbm
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.365,0.35115232581414574,0.36923076923076925,0.26804123711340205,0.4161849710982659,eth,lightgbm
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.335,0.31596987453985426,0.375,0.20689655172413793,0.3660130718954248,eth,lightgbm
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.345,0.33851720418884595,0.3582089552238806,0.2727272727272727,0.38461538461538464,eth,lightgbm
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.38,0.3477190257049742,0.32167832167832167,0.26229508196721313,0.45918367346938777,eth,random_forest
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.425,0.37616294524189264,0.45614035087719296,0.1875,0.48484848484848486,eth,random_forest
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.395,0.3564482458635448,0.18947368421052632,0.37735849056603776,0.5025125628140703,eth,random_forest
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.405,0.3611278604777757,0.38620689655172413,0.19444444444444445,0.5027322404371585,eth,random_forest
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.34,0.3188752021898718,0.4327485380116959,0.2127659574468085,0.3111111111111111,eth,random_forest
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.375,0.36309523809523814,0.4444444444444444,0.23214285714285715,0.4126984126984127,eth,random_forest
1,2020-02-11,2022-03-05,2022-03-16,2022-10-01,750,200,0.35,0.30650800053785127,0.33783783783783783,0.14925373134328357,0.43243243243243246,eth,mlp
2,2020-02-11,2022-09-21,2022-10-02,2023-04-23,950,200,0.34,0.2957161707161707,0.375,0.10810810810810811,0.40404040404040403,eth,mlp
3,2020-02-11,2023-04-13,2023-04-24,2023-11-10,1150,200,0.385,0.3237105025961331,0.3305785123966942,0.16129032258064516,0.4792626728110599,eth,mlp
4,2020-02-11,2023-10-31,2023-11-11,2024-05-28,1350,200,0.37,0.3244563297051591,0.288135593220339,0.1927710843373494,0.49246231155778897,eth,mlp
5,2020-02-11,2024-05-18,2024-05-29,2024-12-16,1550,200,0.315,0.28696410897536073,0.41975308641975306,0.15,0.2911392405063291,eth,mlp
6,2020-02-11,2024-12-06,2024-12-17,2025-07-06,1750,200,0.355,0.31686474250141483,0.4473684210526316,0.06451612903225806,0.43870967741935485,eth,mlp
