,xgboost_stateful,xgboost_defensive,xgboost_prob_weighted,lightgbm_stateful,lightgbm_defensive,lightgbm_prob_weighted,random_forest_stateful,random_forest_defensive,random_forest_prob_weighted,mlp_stateful,mlp_defensive,mlp_prob_weighted,BUY_AND_HOLD
2024-01-03,0.5768952957961136,0.5440590018939929,0.9857170271532474,0.6760345009315771,0.6172502829532726,1.1542173735175112,0.6878746223746386,0.6087205291067233,0.9547407280755379,0.5170977781779185,0.7964723644883305,0.8690784125300642,0.7975171608389383
2024-01-04,0.5921023700118377,0.558400504901254,0.9864934503753572,0.6938549042230782,0.6166330326703193,1.1554164353890746,0.7053192589892101,0.6087205291067233,0.9547407280755379,0.5170977781779185,0.7964723644883305,0.8690784125300642,0.8185398710977468
2024-01-05,0.5920003732467931,0.5583043136884102,0.9864379209521879,0.6937353793584172,0.6165268102031626,1.1553111276747,0.7053192589892101,0.6087205291067233,0.9547407280755379,0.5170977781779185,0.7964723644883305,0.8690784125300642,0.8183988677457246
2024-01-06,0.5849488992041988,0.55109589806778,0.9859126940208233,0.6854721125750771,0.6085666684305772,1.1502708025059252,0.7053192589892101,0.6087205291067233,0.9546987265975476,0.5170977781779185,0.7964723644883305,0.8690784125300642,0.8086507009654449
2024-01-07,0.580053818979986,0.55109589806778,0.9847797159923899,0.6797358149479158,0.6085666684305772,1.147792394838013,0.7053192589892101,0.6087205291067233,0.9543287648893514,0.5170977781779185,0.7964723644883305,0.8690784125300642,0.801883596932978
2024-01-08,0.6082216266532032,0.55109589806778,0.9870600058924884,0.7127442480924807,0.6085666684305772,1.1492037938042963,0.7053192589892101,0.6087205291067233,0.9554698474865697,0.5165806803997406,0.7956758921238422,0.8682948970347789,0.8416254929832987
2024-01-09,0.6082216266532032,0.55109589806778,0.9870600058924884,0.7127442480924807,0.6085666684305772,1.1492037938042963,0.7053192589892101,0.6087205291067233,0.9554698474865697,0.5191922068014169,0.7996983588522742,0.8722165037445279,0.8458802537179606
2024-01-10,0.6082216266532032,0.55109589806778,0.986907799186495,0.7127442480924807,0.6085666684305772,1.1491161777961962,0.7046139397302209,0.6081118085776165,0.9553332928381638,0.5717299986740467,0.8806209639836227,0.955406274117478,0.9314760699432982
2024-01-11,0.60761340502655,0.5505448021697122,0.9890911108683392,0.7127442480924807,0.6085666684305772,1.1503478295942455,0.714851341977161,0.6169471222784878,0.9572889764439365,0.580036717634659,0.8934155888513059,0.9688358324359043,0.9450095734318321
2024-01-12,0.5849339400497932,0.5299954504673778,0.9844371605024955,0.7120315038443882,0.6079581017621466,1.1456071394233327,0.6888840203456005,0.5945362189016244,0.9511839150992043,0.5589666026044838,0.8600684187766818,0.9335980421034497,0.9106816424380447
2024-01-13,0.5849339400497932,0.5299954504673778,0.9844371605024955,0.7267370957668368,0.6199063068388251,1.1493644903067692,0.7031115471199103,0.6068151798339396,0.9522180183004862,0.5705109439879733,0.8600684187766818,0.9335980421034497,0.9294899571441394
2024-01-14,0.5849339400497932,0.5299954504673778,0.9844371605024955,0.6973029813458369,0.6192864005319862,1.1403813122645268,0.6739311968998198,0.5816312960832696,0.9503605814362042,0.5474042600143754,0.8592083503579051,0.932733923415531,0.8918439997393057
2024-01-15,0.5849339400497932,0.5299954504673778,0.9844371605024955,0.7083376152741963,0.6290864428514562,1.1448209047035685,0.67325726570292,0.5810496647871863,0.9503498457452542,0.5560667866085177,0.8728050936216295,0.9463818908837222,0.9059571934608254
2024-01-16,0.5843490061097434,0.5294654550169104,0.984347453144493,0.7298659832051304,0.6482061452504685,1.1501656676294674,0.6937194433646505,0.598709394695561,0.9506100725854739,0.5729672167397715,0.8993320897634428,0.9734104486136828,0.933491774951251
2024-01-17,0.5709530405714035,0.5173276727754944,0.9822707045461009,0.713134099593804,0.6333462805245506,1.1442425944397445,0.6778162046161894,0.5849842230345077,0.9488390832900083,0.5598321741371611,0.8787152639349897,0.9528393046246937,0.9120918521023668
2024-01-18,0.5570989321516008,0.5047747776021485,0.9805112970966771,0.6958299844887451,0.6179782074709689,1.142145433329631,0.6606912578768905,0.5702046653984246,0.946648243943999,0.5462479122342417,0.8573933413395561,0.9300173423907845,0.8899600505181268
2024-01-19,0.5616181776353882,0.5088695640078555,0.9817363814871418,0.7021704609325973,0.6236092902852034,1.142431380542417,0.6600305666190136,0.5696344607330261,0.9466214902186154,0.5512253810085564,0.865206000185917,0.9384145650970701,0.8980694606643791
2024-01-20,0.5616181776353882,0.5088695640078555,0.9817363814871418,0.6965549487686508,0.6186220603318163,1.1418149685214913,0.6540920319260562,0.5645092526313842,0.9463807840388434,0.5468170314633215,0.8582866336094441,0.9314161453674095,0.890887273060344
2024-01-21,0.5616181776353882,0.5088695640078555,0.9817363814871418,0.6921334792161751,0.6146952795242402,1.1411375027865387,0.6540920319260562,0.5645092526313842,0.9463807840388434,0.5433460420465293,0.8528385519835658,0.9255207214735115,0.885232254803008
2024-01-22,0.5616181776353882,0.5088695640078555,0.9817363814871418,0.651775458693762,0.5788526488019637,1.1376666090610557,0.6540920319260562,0.5645092526313842,0.9463807840388434,0.511663756224264,0.8031098842961765,0.8715635568522447,0.8336147235330268
2024-01-23,0.5610565594577529,0.5083606944438477,0.9816089608030091,0.6319921558066509,0.5612827677554969,1.1328939069416257,0.6534379398941302,0.5639447433787528,0.9463019069790963,0.4961332557570815,0.7787331363214893,0.8451095119394175,0.8083120639332614
2024-01-24,0.5592726785421205,0.5067443601798789,0.9811434356625862,0.6299827349620529,0.5594981676099429,1.1317015276041786,0.6513603321184473,0.5621516794741852,0.945979117943998,0.49455579866895655,0.7762571521148399,0.8424224567507738,0.8057420334427177
2024-01-25,0.5553035266936514,0.5031480012103109,0.9798085313615088,0.6255117546461604,0.55552741546812,1.128113038164637,0.6467376352383015,0.5581620953887954,0.9448979810983742,0.49104594178201727,0.7707480639215178,0.8364437832931104,0.8000236913814442
2024-01-26,0.5676954500865071,0.51387289550768,0.9837544892255773,0.6394704157608452,0.5673688076546227,1.13985002774804,0.6611699643086174,0.5700596473207182,0.948344441114536,0.5020039195372935,0.7879477583304036,0.8551035536650287,0.8178766885613771
2024-01-27,0.567867290984826,0.51387289550768,0.983745717667212,0.6396639828762342,0.5673688076546227,1.139748654617101,0.6613700998576886,0.5700596473207182,0.9483112523617908,0.5021558756688421,0.7881862694028443,0.8553620537707751,0.8181242590938783
2024-01-28,0.5651937620459868,0.51387289550768,0.9835935470778404,0.6366524338814208,0.5673688076546227,1.1384084999020054,0.6582563580920976,0.5700596473207182,0.9481017700206331,0.4997917171995623,0.7844754749374866,0.8513375825440165,0.8142725160599371
2024-01-29,0.5796160778389171,0.51387289550768,0.9866461328846877,0.6535348467400756,0.5668014388469681,1.1471507624055675,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5130449298852623,0.8044933056198373,0.873042847238862,0.8358649644100834
2024-01-30,0.5796160778389171,0.51387289550768,0.9866461328846877,0.6606178679164817,0.5729444419541417,1.147731202229215,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5186053190840197,0.8044933056198373,0.873042847238862,0.845759947297684
2024-01-31,0.5790364617610781,0.5133590226121724,0.9865153143421771,0.6606178679164817,0.5729444419541417,1.1477255289575825,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5186053190840197,0.8044933056198373,0.873042847238862,0.8234121930468865
2024-02-01,0.5844348470258758,0.5176317348756271,0.9876039791080968,0.6606178679164817,0.5729444419541417,1.1477727476415647,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5186053190840197,0.8044933056198373,0.873042847238862,0.8310889052115742
2024-02-02,0.5849192632285939,0.5176317348756271,0.9876039791080968,0.6606178679164817,0.5729444419541417,1.1477727476415647,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5186053190840197,0.8044933056198373,0.873042847238862,0.8326088526501748
2024-02-03,0.5849192632285939,0.5176317348756271,0.9876039791080968,0.6606178679164817,0.5729444419541417,1.1477727476415647,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5186053190840197,0.8044933056198373,0.873042847238862,0.8282800233214775
2024-02-04,0.5849192632285939,0.5176317348756271,0.9876039791080968,0.6606178679164817,0.5729444419541417,1.1477727476415647,0.6750533960401844,0.5700596473207182,0.9492112590733587,0.5186053190840197,0.8044933056198373,0.873042847238862,0.825938011368339
