fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.635,0.6271153600267525,0.7051282051282052,0.5822784810126582,0.593939393939394,eth,xgboost
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.315,0.24202621865852106,0.2518518518518518,0.0,0.4742268041237113,eth,xgboost
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.49,0.4705109270318286,0.5862068965517241,0.26666666666666666,0.5586592178770949,eth,xgboost
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.61,0.4070175438596491,0.0,0.42105263157894735,0.8,eth,lightgbm
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.565,0.3846371882086168,0.0,0.7321428571428571,0.4217687074829932,eth,lightgbm
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.625,0.4572431077694235,0.0,0.6631578947368421,0.7085714285714285,eth,lightgbm
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.5,0.435922207407184,0.5487804878048781,0.1791044776119403,0.5798816568047337,eth,lightgbm
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.395,0.386651201005268,0.4484848484848485,0.2982456140350877,0.4132231404958678,eth,lightgbm
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.58,0.4636856368563686,0.4142857142857143,0.2857142857142857,0.6910569105691057,eth,lightgbm
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.72,0.48963955497077594,0.7065868263473054,0.0,0.7623318385650224,eth,lightgbm
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.68,0.6618736276260616,0.7710843373493976,0.5822784810126582,0.632258064516129,eth,lightgbm
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.375,0.2900002946723244,0.296875,0.02857142857142857,0.5445544554455446,eth,lightgbm
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.52,0.4929732791005108,0.6131386861313869,0.3010752688172043,0.5647058823529412,eth,lightgbm
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.59,0.42403337603889496,0.0,0.5323741007194245,0.7397260273972602,eth,random_forest
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.62,0.42576025224609193,0.0,0.7431192660550459,0.5341614906832298,eth,random_forest
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.555,0.39969339969339973,0.0,0.6396396396396397,0.5594405594405595,eth,random_forest
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.525,0.48444998370499476,0.5925925925925926,0.30985915492957744,0.5508982035928144,eth,random_forest
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.38,0.3549382716049383,0.5,0.25,0.3148148148148148,eth,random_forest
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.62,0.44559507116288427,0.44776119402985076,0.15384615384615385,0.7351778656126482,eth,random_forest
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.76,0.5166666666666667,0.75,0.0,0.8,eth,random_forest
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.66,0.6447511452752542,0.75,0.5679012345679012,0.6163522012578616,eth,random_forest
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.35,0.2799191250804154,0.33548387096774196,0.031746031746031744,0.4725274725274725,eth,random_forest
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.56,0.5308342750649299,0.6617647058823529,0.32608695652173914,0.6046511627906976,eth,random_forest
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.59,0.46889269200310996,0.14492753623188406,0.48148148148148145,0.7802690582959642,eth,mlp
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.525,0.38655462184873945,0.0,0.5882352941176471,0.5714285714285714,eth,mlp
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.385,0.32948460508701477,0.0,0.5301204819277109,0.4583333333333333,eth,mlp
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.4,0.328535184742972,0.3114754098360656,0.10126582278481013,0.5728643216080402,eth,mlp
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.42,0.40868196131354023,0.3157894736842105,0.38461538461538464,0.5256410256410257,eth,mlp
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.48,0.38523734084374817,0.2898550724637681,0.26666666666666666,0.5991902834008097,eth,mlp
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.685,0.45344952795933186,0.6074074074074074,0.0,0.7529411764705882,eth,mlp
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.635,0.5966483586034004,0.7241379310344828,0.4383561643835616,0.6274509803921569,eth,mlp
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.395,0.29879775271932135,0.31932773109243695,0.03076923076923077,0.5462962962962963,eth,mlp
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.495,0.4853413654618473,0.5846153846153846,0.36538461538461536,0.5060240963855421,eth,mlp
