asset,model,variant,smoothing_window,n,frame_f1_macro,frame_accuracy,iou_downtrend,iou_range,iou_uptrend,mean_iou,onset_f1,onset_precision,onset_recall,n_true_onsets,n_pred_onsets,mean_boundary_error_days,majority_vote_consistency
btc,mlp,5fold + smooth20d,20,3200,0.5303352206263513,0.6034375,0.31919642857142855,0.23557692307692307,0.5695595290013084,0.37477762688321997,0.3861386138613862,0.3939393939393939,0.3786407766990291,103,99,2.5128205128205128,0.8040625
eth,xgboost,baseline,0,2000,0.5102404633773906,0.5285,0.30409356725146197,0.3010204081632653,0.4302147239263804,0.34510956644703583,0.2864450127877238,0.17391304347826086,0.8115942028985508,69,322,1.8214285714285714,0.6955
eth,xgboost,3fold tuned,0,2000,0.5264760686367066,0.546,0.32230392156862747,0.31065468549422337,0.44706778370144706,0.36000879692143267,0.25471698113207547,0.15211267605633802,0.782608695652174,69,355,1.8888888888888888,0.7015
eth,xgboost,5fold tuned,0,2000,0.5377821479958883,0.557,0.3317591499409681,0.31842105263157894,0.4620797498045348,0.37075331745902734,0.27499999999999997,0.1661631419939577,0.7971014492753623,69,331,2.1454545454545455,0.703
eth,xgboost,5fold + smooth5d,5,2000,0.540443420038496,0.5595,0.3372365339578454,0.3171052631578947,0.46566692975532753,0.3733362422903559,0.4474885844748858,0.32666666666666666,0.7101449275362319,69,150,2.5918367346938775,0.723
eth,xgboost,5fold + smooth10d,10,2000,0.5672141346342648,0.59,0.3755924170616114,0.3179347826086957,0.507258064516129,0.40026175472881204,0.4528301886792453,0.4,0.5217391304347826,69,90,2.6666666666666665,0.78
eth,xgboost,5fold + smooth20d,20,2000,0.58019070914294,0.6035,0.37098692033293695,0.3416666666666667,0.5267857142857143,0.4131464337617727,0.4,0.4262295081967213,0.37681159420289856,69,61,2.6538461538461537,0.83
eth,lightgbm,baseline,0,2000,0.5125950863139298,0.537,0.3027295285359802,0.29419354838709677,0.44758364312267657,0.3481689066819178,0.2644230769230769,0.1585014409221902,0.7971014492753623,69,347,1.9272727272727272,0.707
eth,lightgbm,3fold tuned,0,2000,0.5376258645079799,0.557,0.3363740022805017,0.3122476446837147,0.4636650868878357,0.3707622446173507,0.25980392156862747,0.15634218289085547,0.7681159420289855,69,339,2.2830188679245285,0.7095
eth,lightgbm,5fold tuned,0,2000,0.5376258645079799,0.557,0.3363740022805017,0.3122476446837147,0.4636650868878357,0.3707622446173507,0.25980392156862747,0.15634218289085547,0.7681159420289855,69,339,2.2830188679245285,0.7095
eth,lightgbm,5fold + smooth5d,5,2000,0.5472804084780502,0.5665,0.35714285714285715,0.3111413043478261,0.47157726180944753,0.3799538077667102,0.4200913242009132,0.30666666666666664,0.6666666666666666,69,150,2.782608695652174,0.7335
eth,lightgbm,5fold + smooth10d,10,2000,0.5555192821585135,0.5785,0.36981566820276496,0.3044077134986226,0.4923939151321057,0.38887243227783114,0.39215686274509803,0.35714285714285715,0.43478260869565216,69,84,2.6,0.783
eth,lightgbm,5fold + smooth20d,20,2000,0.5652161422730501,0.5885,0.3761574074074074,0.31345353675450766,0.505654281098546,0.398421741753487,0.3779527559055118,0.41379310344827586,0.34782608695652173,69,58,2.4583333333333335,0.8125
eth,random_forest,baseline,0,2000,0.5597206552774671,0.5755,0.3559322033898305,0.34600262123197906,0.47063492063492063,0.3908565817522434,0.2617801047120419,0.1597444089456869,0.7246376811594203,69,313,2.02,0.713
eth,random_forest,3fold tuned,0,2000,0.549117716758407,0.562,0.3605051664753157,0.33116036505867014,0.4491114701130856,0.38025900054902384,0.2883435582822086,0.1828793774319066,0.6811594202898551,69,257,2.0851063829787235,0.728
eth,random_forest,5fold tuned,0,2000,0.5713393217356971,0.5875,0.3713592233009709,0.3505291005291005,0.485140562248996,0.40234296202635583,0.2680965147453083,0.16447368421052633,0.7246376811594203,69,304,1.96,0.717
eth,random_forest,5fold + smooth5d,5,2000,0.5801575200400254,0.5965,0.3857315598548972,0.352,0.4959349593495935,0.41122217306816355,0.4522613065326633,0.34615384615384615,0.6521739130434783,69,130,2.577777777777778,0.7405
eth,random_forest,5fold + smooth10d,10,2000,0.5934036215468842,0.6125,0.3960880195599022,0.35792349726775957,0.5216326530612245,0.42521472329629545,0.3841059602649007,0.35365853658536583,0.42028985507246375,69,82,2.7241379310344827,0.7855
eth,random_forest,5fold + smooth20d,20,2000,0.5948711964558954,0.6125,0.38923654568210264,0.37231182795698925,0.5170454545454546,0.4261979427281822,0.319327731092437,0.38,0.2753623188405797,69,50,2.473684210526316,0.832
eth,mlp,baseline,0,2000,0.47539003355709913,0.506,0.25056689342403626,0.258732212160414,0.4433608402100525,0.31755331526483427,0.2488888888888889,0.14698162729658792,0.8115942028985508,69,381,1.6785714285714286,0.6645
eth,mlp,3fold tuned,0,2000,0.47063016203222635,0.501,0.24613686534216336,0.25771812080536916,0.4357832219747587,0.3132127360407638,0.26066350710900477,0.1558073654390935,0.7971014492753623,69,353,2.3636363636363638,0.6615
eth,mlp,5fold tuned,0,2000,0.5494465717787506,0.5815,0.3143254520166898,0.3307593307593308,0.5070842654735273,0.38405634941651595,0.33819241982507287,0.2116788321167883,0.8405797101449275,69,274,2.5344827586206895,0.723
eth,mlp,5fold + smooth5d,5,2000,0.5644359299002565,0.5965,0.3319088319088319,0.34067357512953367,0.522880720180045,0.39848770907280356,0.46009389671361506,0.3402777777777778,0.7101449275362319,69,144,2.7551020408163267,0.744
eth,mlp,5fold + smooth10d,10,2000,0.5677129436984232,0.6015,0.351931330472103,0.3207792207792208,0.5346385542168675,0.40244970182273043,0.3973509933774834,0.36585365853658536,0.43478260869565216,69,82,2.966666666666667,0.793
eth,mlp,5fold + smooth20d,20,2000,0.5627295851123854,0.6025,0.31383737517831667,0.3373015873015873,0.5455904334828101,0.39890979865423803,0.2644628099173553,0.3076923076923077,0.2318840579710145,69,52,3.1875,0.8405
