asset,model,trial,state,value,duration_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_min_samples_leaf,param_max_features,param_hidden_layer_sizes_idx,param_batch_size,param_learning_rate_init,param_alpha
eth,xgboost,2,COMPLETE,0.4868136161516013,10.383924,550.0,4.0,0.016362239850894616,0.6733618039413735,0.721696897183815,6.0,,,,,,,,,,
eth,xgboost,3,COMPLETE,0.48405165623620094,5.494098,300.0,4.0,0.05243180891902853,0.6557975442608167,0.7168578594140872,4.0,,,,,,,,,,
eth,xgboost,4,COMPLETE,0.48645393044977236,11.481366,350.0,7.0,0.017172542103877867,0.8056937753654446,0.836965827544817,1.0,,,,,,,,,,
eth,xgboost,5,PRUNED,0.4097261409100845,1.370191,400.0,4.0,0.011926324174062874,0.9795542149013333,0.9862528132298237,9.0,,,,,,,,,,
eth,xgboost,6,PRUNED,0.42645234595698994,0.668225,250.0,3.0,0.06378528225249058,0.7760609974958405,0.6488152939379115,5.0,,,,,,,,,,
eth,xgboost,7,COMPLETE,0.49657071748363213,3.654766,100.0,8.0,0.020153425505297702,0.8650089137415928,0.7246844304357644,6.0,,,,,,,,,,
eth,xgboost,8,PRUNED,0.40148108705084207,1.090227,400.0,4.0,0.13814017620274424,0.9100531293444458,0.9757995766256756,9.0,,,,,,,,,,
eth,xgboost,9,COMPLETE,0.49966044574489066,12.870206,400.0,8.0,0.012707942999213693,0.678393144967658,0.6180909155642152,4.0,,,,,,,,,,
eth,xgboost,10,PRUNED,0.433509500064694,2.313496,600.0,6.0,0.027143052490931286,0.6071847502459278,0.8548368194215873,4.0,,,,,,,,,,
eth,xgboost,11,COMPLETE,0.49512798136389186,2.954063,100.0,7.0,0.026867056013873306,0.7427133420840214,0.7541937849438474,7.0,,,,,,,,,,
eth,xgboost,12,COMPLETE,0.49853382812774977,15.07956,500.0,7.0,0.010606834743099593,0.7260342721532042,0.6080267311484439,7.0,,,,,,,,,,
eth,xgboost,13,COMPLETE,0.4960712024920647,13.457076,500.0,6.0,0.011835482882706631,0.713934303387409,0.6077212616797523,3.0,,,,,,,,,,
eth,xgboost,14,COMPLETE,0.4978784472311263,15.09666,500.0,7.0,0.010089332732380503,0.6908556046603515,0.6618783101150698,7.0,,,,,,,,,,
eth,xgboost,15,PRUNED,0.4210547180844211,2.08698,450.0,7.0,0.028326705581622015,0.6151707260509903,0.9191979476316068,8.0,,,,,,,,,,
eth,xgboost,16,PRUNED,0.43401206636500755,2.805948,600.0,6.0,0.014563191652430248,0.749160603123104,0.7884157749870748,5.0,,,,,,,,,,
eth,xgboost,17,PRUNED,0.5082952609518853,2.400881,200.0,8.0,0.035933020947004304,0.646992349685928,0.6772876502180768,3.0,,,,,,,,,,
eth,xgboost,18,PRUNED,0.5084053100540107,3.581419,450.0,5.0,0.020601705270219234,0.7132185529264726,0.6021177925561997,7.0,,,,,,,,,,
eth,xgboost,19,PRUNED,0.4395633971291866,2.765926,500.0,7.0,0.01001233427480462,0.7790817164521516,0.7911302960155628,4.0,,,,,,,,,,
eth,xgboost,20,PRUNED,0.4280461140926257,1.497958,400.0,5.0,0.11448136547192186,0.7348692669594385,0.6947987919377797,1.0,,,,,,,,,,
eth,xgboost,21,COMPLETE,0.5053981323821224,14.499819,500.0,7.0,0.010507619076437569,0.6891404984361571,0.635522162361147,7.0,,,,,,,,,,
eth,xgboost,22,COMPLETE,0.5004648537467856,16.887541,550.0,8.0,0.01361739129528502,0.6891700960195946,0.6412628671754068,8.0,,,,,,,,,,
eth,xgboost,23,PRUNED,0.5126134322354493,6.085432,550.0,8.0,0.013927627505569942,0.6448081383296643,0.6365363834906363,8.0,,,,,,,,,,
eth,xgboost,24,COMPLETE,0.5027828887636194,16.721464,550.0,8.0,0.020524740946036915,0.6816731945441582,0.6385134896466937,8.0,,,,,,,,,,
eth,xgboost,25,PRUNED,0.43681379411981425,2.520044,550.0,8.0,0.02067334487368997,0.6358870019633593,0.6949818952311448,10.0,,,,,,,,,,
eth,xgboost,26,PRUNED,0.43154766290865326,2.750728,600.0,7.0,0.016802654772161148,0.6959554173551851,0.7431112214919919,8.0,,,,,,,,,,
eth,xgboost,27,PRUNED,0.43132438693186353,2.276247,550.0,6.0,0.023123699212398017,0.8069152726361357,0.6395391048011851,9.0,,,,,,,,,,
eth,xgboost,28,PRUNED,0.41594103836666757,2.117675,450.0,8.0,0.032522051321444034,0.7534755424511654,0.7658313612926888,8.0,,,,,,,,,,
eth,xgboost,29,PRUNED,0.43320794331204615,3.250878,600.0,8.0,0.015314262706192638,0.8310365866154781,0.6808786087924291,6.0,,,,,,,,,,
eth,lightgbm,0,COMPLETE,0.4870259399162612,38.211881,300.0,,0.07259248719561363,,,,115.0,0.8394633936788146,0.6624074561769746,12.0,,,,,,
eth,lightgbm,1,COMPLETE,0.48371819398848964,2.767998,100.0,,0.05092911283433821,,,,95.0,0.8832290311184182,0.608233797718321,49.0,,,,,,
eth,lightgbm,2,COMPLETE,0.48549825006807723,21.896162,550.0,,0.016362239850894616,,,,23.0,0.6733618039413735,0.721696897183815,29.0,,,,,,
eth,lightgbm,3,COMPLETE,0.4840103323388803,16.050833,300.0,,0.05243180891902853,,,,27.0,0.6557975442608167,0.7168578594140872,21.0,,,,,,
eth,lightgbm,4,COMPLETE,0.48811305222599144,53.785909,350.0,,0.017172542103877867,,,,80.0,0.8056937753654446,0.836965827544817,7.0,,,,,,
eth,lightgbm,5,PRUNED,0.4072566765879042,1.957476,400.0,,0.011926324174062874,,,,21.0,0.9795542149013333,0.9862528132298237,42.0,,,,,,
eth,lightgbm,6,PRUNED,0.501881086325815,7.36698,250.0,,0.06378528225249058,,,,18.0,0.7760609974958405,0.6488152939379115,27.0,,,,,,
eth,lightgbm,7,COMPLETE,0.5093214587891947,6.772469,100.0,,0.020153425505297702,,,,105.0,0.8650089137415928,0.7246844304357644,28.0,,,,,,
eth,lightgbm,8,PRUNED,0.40628815628815634,1.932495,400.0,,0.13814017620274424,,,,22.0,0.9100531293444458,0.9757995766256756,46.0,,,,,,
eth,lightgbm,9,COMPLETE,0.49254232353440114,33.182719,400.0,,0.012707942999213693,,,,108.0,0.678393144967658,0.6180909155642152,19.0,,,,,,
eth,lightgbm,10,COMPLETE,0.5011321284846473,6.13396,100.0,,0.027143052490931286,,,,50.0,0.7387403565626488,0.8443228109006988,36.0,,,,,,
eth,lightgbm,11,COMPLETE,0.49972836433236945,5.2427,100.0,,0.026439372319923903,,,,56.0,0.7427133420840213,0.8303784884772313,37.0,,,,,,
eth,lightgbm,12,PRUNED,0.42121662333374604,1.135698,200.0,,0.02642606498488015,,,,41.0,0.7273145000499233,0.8951449184465631,35.0,,,,,,
eth,lightgbm,13,PRUNED,0.43676335069470956,0.743959,150.0,,0.028465071439181932,,,,62.0,0.610547233762323,0.7728420575037601,33.0,,,,,,
