asset,model,trial,state,value,duration_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_min_samples_leaf,param_max_features,param_hidden_layer_sizes_idx,param_batch_size,param_learning_rate_init,param_alpha
btc,mlp,8,PRUNED,0.4326662065792501,0.107686,,,,,,,,,,,,,64_32,auto,0.0001705053926026929,0.0028340904295147754
btc,mlp,9,COMPLETE,0.4538082629900217,0.937684,,,,,,,,,,,,,64,64,0.0059487468132197715,7.742116473996245e-05
btc,mlp,10,COMPLETE,0.47012726336846544,1.367736,,,,,,,,,,,,,64,64,0.0013587312674307856,0.006593541319361055
btc,mlp,11,PRUNED,0.5153373421300267,0.145565,,,,,,,,,,,,,64,64,0.0014499185581508603,0.008227783594987747
btc,mlp,12,COMPLETE,0.4670211900950621,1.610619,,,,,,,,,,,,,64,64,0.0016672951571016217,0.0006146439247862422
btc,mlp,13,PRUNED,0.5117297036887104,0.175482,,,,,,,,,,,,,64,64,0.001422846899654524,0.0005174707236986051
btc,mlp,14,COMPLETE,0.47958374412515914,1.846691,,,,,,,,,,,,,64,64,0.0007233159407965008,0.0006478221558943329
btc,mlp,15,COMPLETE,0.45680340367306144,2.248653,,,,,,,,,,,,,64_32_16,64,0.0006040706336591928,3.235766254967105e-05
btc,mlp,16,COMPLETE,0.4769358328352245,1.325162,,,,,,,,,,,,,64,64,0.0007547454304518283,0.009639757903159522
btc,mlp,17,PRUNED,0.3679071657344997,0.154264,,,,,,,,,,,,,64,64,0.00010722594905364671,0.0007969859084831115
btc,mlp,18,COMPLETE,0.47494829966893676,1.06131,,,,,,,,,,,,,64,64,0.0006553453632731051,0.009887713548891777
btc,mlp,19,COMPLETE,0.5006599906266073,1.677188,,,,,,,,,,,,,64_32_16,auto,0.00028150583002645673,3.10174457441655e-05
btc,mlp,20,COMPLETE,0.4910182264869718,1.188897,,,,,,,,,,,,,64_32_16,auto,0.0002740827310004353,3.466343621561469e-05
btc,mlp,21,COMPLETE,0.5041937821005488,1.914648,,,,,,,,,,,,,64_32_16,auto,0.00024346596102796958,1.1949151540269165e-06
btc,mlp,22,COMPLETE,0.5112698988139824,1.868786,,,,,,,,,,,,,64_32_16,auto,0.00023706751442386861,1.6982604811958387e-06
btc,mlp,23,COMPLETE,0.5029860101238404,2.026416,,,,,,,,,,,,,64_32_16,auto,0.0001866495398139034,1.1950349783733442e-06
