,3stage_full_regime_xgboost_stateful,3stage_full_regime_xgboost_defensive,3stage_full_regime_xgboost_prob_weighted,3stage_full_regime_lightgbm_stateful,3stage_full_regime_lightgbm_defensive,3stage_full_regime_lightgbm_prob_weighted,3stage_full_regime_random_forest_stateful,3stage_full_regime_random_forest_defensive,3stage_full_regime_random_forest_prob_weighted,3stage_full_regime_mlp_stateful,3stage_full_regime_mlp_defensive,3stage_full_regime_mlp_prob_weighted,BUY_AND_HOLD
2024-02-18,0.8379975912070671,0.7154040059761465,0.9849226731476624,0.6077715547994298,0.5988304647599139,1.0883310817818868,0.6749479840604775,0.4602706041965815,0.9957749538438325,0.36305327231198825,0.3400737195052712,0.31783688704710356,1.0385787284861985
2024-02-19,0.83715959361586,0.7146886019701704,0.9848952368549423,0.6071637832446304,0.5982316342951539,1.0883151264870563,0.6900872394125712,0.4705945911889926,0.9979122773957521,0.37119664976587496,0.3397336457857659,0.3192457559857118,1.0618743141389093
2024-02-20,0.8570475534747851,0.7316670829384434,0.985325765052887,0.6215878536859747,0.612443508374997,1.0885929779196128,0.70648127875854,0.4817742592125887,1.0000818789375503,0.38001497320934813,0.34780451920302013,0.3236789691383939,1.0871007033433897
2024-02-21,0.8439190578987039,0.7204592006889969,0.9815147694679367,0.6120661960437862,0.6030619263872743,1.0867981422504405,0.6963656810229414,0.47487607980983876,0.9981521817424089,0.3745738118961353,0.3424767517142909,0.3212912028282226,1.0715352895897061
2024-02-22,0.8439190578987039,0.7204592006889969,0.9815147694679367,0.6120661960437862,0.6030619263872743,1.0867981422504405,0.6965185010413534,0.47498029311792905,0.9981010157123918,0.374656013501399,0.3421342749625766,0.32125739907054907,1.0717704419631597
2024-02-23,0.8439190578987039,0.7204592006889969,0.9815147694679367,0.6120661960437862,0.6030619263872743,1.0867981422504405,0.6849491671081341,0.46709076022746904,0.9978303741281533,0.36843289017616654,0.33645134526132103,0.3183295748188901,1.053968086211967
2024-02-24,0.8439190578987039,0.7204592006889969,0.9815147694679367,0.6120661960437862,0.6030619263872743,1.0867981422504405,0.7008455333545021,0.4779310475822503,0.9978623174921428,0.3773519490699853,0.34459619183529394,0.32376311183133,1.0794826471639904
2024-02-25,0.8430751388408052,0.719738741488308,0.9815052026736835,0.6120661960437862,0.6030619263872743,1.0867981422504405,0.7001446878211476,0.47745311653466804,0.9978075664241555,0.3925236869223898,0.3584509581889516,0.33487060907775246,1.1228841130351903
2024-02-26,0.8601884631420271,0.7343484979949205,0.9816993942003964,0.6120661960437862,0.6030619263872743,1.0867981422504405,0.7150568553150684,0.48762224438510776,0.9989685417322368,0.4008839288360059,0.36608549547795766,0.3413549523331761,1.1468000782079788
2024-02-27,0.8593282746788851,0.7336141494969256,0.9814482504119647,0.6114541298477424,0.602458864460887,1.0867160182058093,0.7297956561627793,0.49767314746433106,1.0001107503371898,0.40914697581785514,0.37363127476946273,0.34597850081978343,1.1704379999189722
2024-02-28,0.8967217627373304,0.7655372139963112,0.992356741145815,0.6380614269383597,0.6286747344813877,1.090191641327258,0.7615525597326355,0.5193292891799873,1.0067490727617678,0.426950919904428,0.38988976063922476,0.35208388818168745,1.2213693618475385
2024-02-29,0.885125288726966,0.7556372285437719,0.9889292151120869,0.6298099680555957,0.620544665019115,1.0876553645677547,0.7517041041319735,0.5126132833295073,1.0047534085388712,0.4214295581486265,0.3848476766126722,0.35042963369948904,1.20557452040365
2024-03-01,0.9097923998707474,0.7766957021161137,1.0056812446885652,0.6473618250405351,0.6378383119374202,1.0982064507792706,0.7726529674398208,0.526899044898758,1.0103487134778208,0.4331741663781328,0.3955728027991405,0.3543144993453117,1.2391720698869313
2024-03-02,0.9063481811344809,0.7737553501303354,1.0034843663046271,0.6449110948220093,0.6354236350671852,1.097129011467179,0.7697279201131271,0.5249043529637418,1.0096099652377062,0.4315342905337993,0.39407527516629604,0.3535221030882487,1.2344809121446054
2024-03-03,0.9246083276811677,0.7893441562632916,1.0116914651467568,0.6579040828879134,0.6482254798075054,1.103539221366503,0.7852355858368548,0.5354795718560161,1.0122664984678555,0.4402283879558347,0.4020146878828918,0.3597454983525165,1.2593519306274057
2024-03-04,0.9615398061109524,0.8208728001311485,1.0254122447177254,0.684182637513284,0.6741174435811682,1.1124999976607237,0.816600121751605,0.5568681443634553,1.018422154523051,0.45781235808375254,0.4180722944710117,0.37250347416849805,1.3096540177588463
2024-03-05,0.9405898351738509,0.802987673382875,1.0155717714523989,0.6699598903695473,0.6601039310780085,1.105583250993237,0.7996246879822962,0.5452920031762573,1.0144248887817278,0.44829538256977414,0.4093814329874833,0.36995399771484927,1.2824290095241095
2024-03-06,0.939649245338677,0.8021846857094922,1.015340211197186,0.7197620043321088,0.7091733928103345,1.1125414971730214,0.8590655596085153,0.5858268096257567,1.0211613314458503,0.48161985176943783,0.43981319625103243,0.380686637447026,1.3777596055781294
2024-03-07,0.9532108201796342,0.8137622905503261,1.018495624348173,0.730150036183195,0.7194086035440445,1.1144041352637797,0.8714641029348823,0.5942818093631484,1.0237612767213262,0.48857087492734796,0.44572102778135075,0.38166127413638457,1.3976442488070622
2024-03-08,0.9575688659549382,0.8174827826359764,1.0186435328297472,0.7334882560325318,0.7226977139475559,1.1147035189700756,0.8754484056428695,0.5969988445392147,1.024364384149932,0.49080460349225496,0.44572102778135075,0.38221222771254254,1.4040342283215033
2024-03-09,0.9633156431347826,0.822388843773922,1.0192039641096398,0.7378902303670336,0.7270349296592402,1.114640609693519,0.8807023430864835,0.6005816879859573,1.0251929104743622,0.49375013022708575,0.4452753067535694,0.3828825425387559,1.4124604336315434
2024-03-10,0.953931701761928,0.8143777118560898,1.0189750228536456,0.7314401145573103,0.7206797032298516,1.1127479609798965,0.8730038645418131,0.5953318265820712,1.0236249188995041,0.48943411493108896,0.4413830241652202,0.38008796868315037,1.4001137010165257
2024-03-11,0.952977770060166,0.8135633341442337,1.0188713055903662,0.7663522422955181,0.7550782293111319,1.1232769527922999,0.9146729251091014,0.6237474143555598,1.0293636471497718,0.5127951338304318,0.46245053224202154,0.3939448477686128,1.4669420679669603
2024-03-12,0.9318302784336737,0.795509582695918,1.016569954333714,0.750112502542756,0.7390773967171552,1.1188928555232853,0.8952901276918511,0.6105296078149919,1.025519044185721,0.5019285126342251,0.45218831095470063,0.39223959676656317,1.435856157205084
2024-03-13,0.9318302784336737,0.795509582695918,1.016569954333714,0.7550470442719718,0.7439393450820447,1.119096299432284,0.9011797062282368,0.614545917123892,1.0261258356643033,0.505230400260789,0.4517361226437459,0.3923071460055381,1.4453017964936734
2024-03-14,0.93089844815524,0.7947140731132221,1.0165214382667715,0.7318070914506354,0.7210412814278613,1.118267903031324,0.8734418665596053,0.5956305154560725,1.0239682998229838,0.4896796729848654,0.43783192123328046,0.3858170904423687,1.400816163687187
2024-03-15,0.8954378056109865,0.764441091428268,1.0145752047072998,0.7039304205498442,0.6935747116951121,1.114707488217701,0.8401699131315654,0.5729412083260697,1.0208434666266786,0.4710263430976858,0.42071579181989366,0.3766543005340826,1.3474549819716493
2024-03-16,0.8445290886808626,0.720979987944121,1.0061561050447634,0.6639095566844607,0.6541426054714015,1.0986461158895624,0.7924033658484329,0.5403675313945122,1.0153126873954983,0.44377585019964455,0.42071579181989366,0.3766543005340826,1.270847534951391
2024-03-17,0.8731893150072417,0.7454474099763739,1.0141859378461267,0.6864402171553081,0.6763418113647373,1.1063068522510646,0.8192946359199872,0.5587056276860016,1.0181785021444087,0.44377585019964455,0.42071579181989366,0.3766543005340826,1.3139754490353446
2024-03-18,0.8433604134619274,0.719236834881904,1.0076864802482552,0.6629908261671693,0.652561048833324,1.0984217628346011,0.7913068231840299,0.5396197606527792,1.014626098198576,0.44377585019964455,0.42071579181989366,0.3766543005340826,1.2690889122573374
